Protein 1,Protein 2,LIA,Protein 1,Protein 2,Binary_Label
3C_LIKE_PROTEINASE,3c_like_proteinase_inhibitor,2590,3C_LIKE_PROTEINASE,3c_like_proteinase_inhibitor,1.0
3C_LIKE_PROTEINASE,lactoferrin,4154,3C_LIKE_PROTEINASE,lactoferrin,0.0
3C_LIKE_PROTEINASE,ns4a_peptide,3557,3C_LIKE_PROTEINASE,ns4a_peptide,0.0
3C_LIKE_PROTEINASE,pep2,2504,3C_LIKE_PROTEINASE,pep2,1.0
3C_LIKE_PROTEINASE,pep3,2372,3C_LIKE_PROTEINASE,pep3,1.0
3C_LIKE_PROTEINASE,pep4,3686,3C_LIKE_PROTEINASE,pep4,1.0
3C_LIKE_PROTEINASE,pep6,2947,3C_LIKE_PROTEINASE,pep6,1.0
3C_LIKE_PROTEINASE,peptide_cglr,1495,3C_LIKE_PROTEINASE,peptide_cglr,0.0
3C_LIKE_PROTEINASE,peptide_ketoamide_inhibitor,1968,3C_LIKE_PROTEINASE,peptide_ketoamide_inhibitor,0.0
3C_LIKE_PROTEINASE,trypsin_inhibitor_1_kallikrein,3246,3C_LIKE_PROTEINASE,trypsin_inhibitor_1_kallikrein,0.0
72_KDA_TYPE_IV_COLLAGENASE,amyloid_beta_a4_protein,3261,72_KDA_TYPE_IV_COLLAGENASE,amyloid_beta_a4_protein,1.0
72_KDA_TYPE_IV_COLLAGENASE,pepstatin_a,1434,72_KDA_TYPE_IV_COLLAGENASE,pepstatin_a,0.0
ALKALINE_PROTEASE,alkaline_protease_tetrapeptide_inhibitor,1898,ALKALINE_PROTEASE,alkaline_protease_tetrapeptide_inhibitor,1.0
ALKALINE_PROTEASE,hirugen,4895,ALKALINE_PROTEASE,hirugen,0.0
ALPHA_THROMBIN,hirugen,5841,ALPHA_THROMBIN,hirugen,1.0
ALPHA_THROMBIN,thrombin_nonapeptide_inhibitor,4656,ALPHA_THROMBIN,thrombin_nonapeptide_inhibitor,1.0
ALPHA_THROMBIN,tynorphin,2182,ALPHA_THROMBIN,tynorphin,0.0
ALPHA_THROMBIN_2,ps2,2200,ALPHA_THROMBIN_2,ps2,0.0
ANGIOTENSIN_CONVERTING_ENZYME,angiotensin_2,6067,ANGIOTENSIN_CONVERTING_ENZYME,angiotensin_2,1.0
