Protein 1,Protein 2,LIS,Protein 1,Protein 2,Binary_Label
3C_LIKE_PROTEINASE,3c_like_proteinase_inhibitor,0.539,3C_LIKE_PROTEINASE,3c_like_proteinase_inhibitor,1.0
3C_LIKE_PROTEINASE,lactoferrin,0.43,3C_LIKE_PROTEINASE,lactoferrin,0.0
3C_LIKE_PROTEINASE,ns4a_peptide,0.251,3C_LIKE_PROTEINASE,ns4a_peptide,0.0
3C_LIKE_PROTEINASE,pep2,0.303,3C_LIKE_PROTEINASE,pep2,1.0
3C_LIKE_PROTEINASE,pep3,0.233,3C_LIKE_PROTEINASE,pep3,1.0
3C_LIKE_PROTEINASE,pep4,0.329,3C_LIKE_PROTEINASE,pep4,1.0
3C_LIKE_PROTEINASE,pep6,0.212,3C_LIKE_PROTEINASE,pep6,1.0
3C_LIKE_PROTEINASE,peptide_cglr,0.423,3C_LIKE_PROTEINASE,peptide_cglr,0.0
3C_LIKE_PROTEINASE,peptide_ketoamide_inhibitor,0.301,3C_LIKE_PROTEINASE,peptide_ketoamide_inhibitor,0.0
3C_LIKE_PROTEINASE,trypsin_inhibitor_1_kallikrein,0.209,3C_LIKE_PROTEINASE,trypsin_inhibitor_1_kallikrein,0.0
72_KDA_TYPE_IV_COLLAGENASE,amyloid_beta_a4_protein,0.695,72_KDA_TYPE_IV_COLLAGENASE,amyloid_beta_a4_protein,1.0
72_KDA_TYPE_IV_COLLAGENASE,pepstatin_a,0.431,72_KDA_TYPE_IV_COLLAGENASE,pepstatin_a,0.0
ALKALINE_PROTEASE,alkaline_protease_tetrapeptide_inhibitor,0.329,ALKALINE_PROTEASE,alkaline_protease_tetrapeptide_inhibitor,1.0
ALKALINE_PROTEASE,hirugen,0.218,ALKALINE_PROTEASE,hirugen,0.0
ALPHA_THROMBIN,hirugen,0.652,ALPHA_THROMBIN,hirugen,1.0
ALPHA_THROMBIN,thrombin_nonapeptide_inhibitor,0.572,ALPHA_THROMBIN,thrombin_nonapeptide_inhibitor,1.0
ALPHA_THROMBIN,tynorphin,0.435,ALPHA_THROMBIN,tynorphin,0.0
ALPHA_THROMBIN_2,ps2,0.284,ALPHA_THROMBIN_2,ps2,0.0
ANGIOTENSIN_CONVERTING_ENZYME,angiotensin_2,0.352,ANGIOTENSIN_CONVERTING_ENZYME,angiotensin_2,1.0
ANGIOTENSIN_CONVERTING_ENZYME,aspartic_peptidase_inhibitor_6,0.254,ANGIOTENSIN_CONVERTING_ENZYME,aspartic_peptidase_inhibitor_6,0.0
ANGIOTENSIN_CONVERTING_ENZYME_2,bradykinin_potentiating_peptide_b,0.246,ANGIOTENSIN_CONVERTING_ENZYME_2,bradykinin_potentiating_peptide_b,1.0
ANGIOTENSIN_CONVERTING_ENZYME_2,upain_1_w3a,0.201,ANGIOTENSIN_CONVERTING_ENZYME_2,upain_1_w3a,0.0
BACE,aspartic_peptidase_inhibitor_4,0.261,BACE,aspartic_peptidase_inhibitor_4,1.0
BACE,aspartic_peptidase_inhibitor_5,0.205,BACE,aspartic_peptidase_inhibitor_5,1.0
BACE,bicyclic_peptide_inhibitor,0.139,BACE,bicyclic_peptide_inhibitor,0.0
BACE,pvi,0.14,BACE,pvi,0.0
BETA_ACROSIN_HEAVY_CHAIN,beta_acrosin_light_chain,0.612,BETA_ACROSIN_HEAVY_CHAIN,beta_acrosin_light_chain,1.0
BETA_ACROSIN_HEAVY_CHAIN,ps1,0.337,BETA_ACROSIN_HEAVY_CHAIN,ps1,0.0
BONT_A,jth_nb72_39_inhibitior,0.225,BONT_A,jth_nb72_39_inhibitior,1.0
BONT_A,pep6,0.173,BONT_A,pep6,0.0
BOTULINUM_NEUROTOXIN_TYPE_A,pep6,0.043,BOTULINUM_NEUROTOXIN_TYPE_A,pep6,0.0
BOTULINUM_NEUROTOXIN_TYPE_A,synaptotagmin_2,0.384,BOTULINUM_NEUROTOXIN_TYPE_A,synaptotagmin_2,1.0
CAAX_PRENYL_PROTEASE_1_HOMOLOG,3c_like_proteinase_inhibitor,0.25,CAAX_PRENYL_PROTEASE_1_HOMOLOG,3c_like_proteinase_inhibitor,0.0
CAAX_PRENYL_PROTEASE_1_HOMOLOG,prelamin_a_c,0.197,CAAX_PRENYL_PROTEASE_1_HOMOLOG,prelamin_a_c,1.0
CALCIUM_DEPENDENT_PROTEASE,aspartic_peptidase_inhibitor_1,0.031,CALCIUM_DEPENDENT_PROTEASE,aspartic_peptidase_inhibitor_1,0.0
CALCIUM_DEPENDENT_PROTEASE,calpastatin,0.7,CALCIUM_DEPENDENT_PROTEASE,calpastatin,1.0
CANDIDAPEPSIN_3,pepstatin_a,0.133,CANDIDAPEPSIN_3,pepstatin_a,1.0
CANDIDAPEPSIN_3,synaptotagmin_2,0.162,CANDIDAPEPSIN_3,synaptotagmin_2,0.0
CHYMOSIN,cp_113972,0.397,CHYMOSIN,cp_113972,1.0
CHYMOSIN,pep2,0.409,CHYMOSIN,pep2,0.0
COAGULATION_FACTOR_XI,coagulation_factor_xi_inhibitor,0.176,COAGULATION_FACTOR_XI,coagulation_factor_xi_inhibitor,1.0
COAGULATION_FACTOR_XI,pepstatin_a,0.514,COAGULATION_FACTOR_XI,pepstatin_a,0.0
DIPEPTIDYL_PEPTIDASE_3,decapeptide_inhibitor,0.221,DIPEPTIDYL_PEPTIDASE_3,decapeptide_inhibitor,0.0
DIPEPTIDYL_PEPTIDASE_3,tynorphin,0.419,DIPEPTIDYL_PEPTIDASE_3,tynorphin,1.0
ELASTASE,3c_like_proteinase_inhibitor,0.402,ELASTASE,3c_like_proteinase_inhibitor,0.0
ELASTASE,inhibitor_fr901451,0.255,ELASTASE,inhibitor_fr901451,1.0
ENDOTHIAPEPSIN,3mer_peptide,0.382,ENDOTHIAPEPSIN,3mer_peptide,0.0
ENDOTHIAPEPSIN,eqw,0.338,ENDOTHIAPEPSIN,eqw,0.0
ENDOTHIAPEPSIN,h77,0.398,ENDOTHIAPEPSIN,h77,1.0
ENDOTHIAPEPSIN,h_256,0.241,ENDOTHIAPEPSIN,h_256,1.0
ENDOTHIAPEPSIN,pep2,0.24,ENDOTHIAPEPSIN,pep2,0.0
ENDOTHIAPEPSIN,ps1,0.466,ENDOTHIAPEPSIN,ps1,1.0
ENDOTHIAPEPSIN,ps2,0.345,ENDOTHIAPEPSIN,ps2,1.0
ENDOTHIAPEPSIN,tynorphin,0.355,ENDOTHIAPEPSIN,tynorphin,0.0
GAG_PRO_POL_POLYPROTEIN,gag_pro_pol_polyprotein_inhibitor,0.439,GAG_PRO_POL_POLYPROTEIN,gag_pro_pol_polyprotein_inhibitor,1.0
GAG_PRO_POL_POLYPROTEIN,putative_lipoprotein,0.392,GAG_PRO_POL_POLYPROTEIN,putative_lipoprotein,0.0
HUMAN_ADENOVIRUS_D8_PROTEASE,pvi,0.78,HUMAN_ADENOVIRUS_D8_PROTEASE,pvi,1.0
HUMAN_ADENOVIRUS_D8_PROTEASE,upain_1_w3a,0.105,HUMAN_ADENOVIRUS_D8_PROTEASE,upain_1_w3a,0.0
KALLIKREIN_4,calpastatin,0.404,KALLIKREIN_4,calpastatin,0.0
KALLIKREIN_4,trypsin_inhibitor_1_kallikrein,0.76,KALLIKREIN_4,trypsin_inhibitor_1_kallikrein,1.0
METALLOPROTEINASE,ekw,0.303,METALLOPROTEINASE,ekw,1.0
METALLOPROTEINASE,enw,0.315,METALLOPROTEINASE,enw,1.0
METALLOPROTEINASE,eqw,0.308,METALLOPROTEINASE,eqw,1.0
METALLOPROTEINASE,h_256,0.512,METALLOPROTEINASE,h_256,0.0
