Protein 1,Protein 2,LIA,Protein 1,Protein 2,Binary_Label
3C_LIKE_PROTEINASE,3c_like_proteinase_inhibitor,2590,3C_LIKE_PROTEINASE,3c_like_proteinase_inhibitor,1.0
3C_LIKE_PROTEINASE,pep2,2504,3C_LIKE_PROTEINASE,pep2,1.0
3C_LIKE_PROTEINASE,pep3,2372,3C_LIKE_PROTEINASE,pep3,1.0
3C_LIKE_PROTEINASE,peptide_cglr,1495,3C_LIKE_PROTEINASE,peptide_cglr,0.0
3C_LIKE_PROTEINASE,peptide_ketoamide_inhibitor,1968,3C_LIKE_PROTEINASE,peptide_ketoamide_inhibitor,0.0
72_KDA_TYPE_IV_COLLAGENASE,pepstatin_a,1434,72_KDA_TYPE_IV_COLLAGENASE,pepstatin_a,0.0
ALKALINE_PROTEASE,alkaline_protease_tetrapeptide_inhibitor,1898,ALKALINE_PROTEASE,alkaline_protease_tetrapeptide_inhibitor,1.0
ALPHA_THROMBIN,thrombin_nonapeptide_inhibitor,4656,ALPHA_THROMBIN,thrombin_nonapeptide_inhibitor,1.0
ALPHA_THROMBIN,tynorphin,2182,ALPHA_THROMBIN,tynorphin,0.0
ALPHA_THROMBIN_2,ps2,2200,ALPHA_THROMBIN_2,ps2,0.0
ANGIOTENSIN_CONVERTING_ENZYME,angiotensin_2,6067,ANGIOTENSIN_CONVERTING_ENZYME,angiotensin_2,1.0
ANGIOTENSIN_CONVERTING_ENZYME,aspartic_peptidase_inhibitor_6,4692,ANGIOTENSIN_CONVERTING_ENZYME,aspartic_peptidase_inhibitor_6,0.0
BETA_ACROSIN_HEAVY_CHAIN,ps1,1662,BETA_ACROSIN_HEAVY_CHAIN,ps1,0.0
BONT_A,jth_nb72_39_inhibitior,3339,BONT_A,jth_nb72_39_inhibitior,1.0
CAAX_PRENYL_PROTEASE_1_HOMOLOG,3c_like_proteinase_inhibitor,2144,CAAX_PRENYL_PROTEASE_1_HOMOLOG,3c_like_proteinase_inhibitor,0.0
CAAX_PRENYL_PROTEASE_1_HOMOLOG,prelamin_a_c,1694,CAAX_PRENYL_PROTEASE_1_HOMOLOG,prelamin_a_c,1.0
CANDIDAPEPSIN_3,pepstatin_a,1916,CANDIDAPEPSIN_3,pepstatin_a,1.0
CHYMOSIN,cp_113972,2287,CHYMOSIN,cp_113972,1.0
CHYMOSIN,pep2,3622,CHYMOSIN,pep2,0.0
COAGULATION_FACTOR_XI,pepstatin_a,2303,COAGULATION_FACTOR_XI,pepstatin_a,0.0
DIPEPTIDYL_PEPTIDASE_3,tynorphin,5735,DIPEPTIDYL_PEPTIDASE_3,tynorphin,1.0
ELASTASE,3c_like_proteinase_inhibitor,1499,ELASTASE,3c_like_proteinase_inhibitor,0.0
ENDOTHIAPEPSIN,3mer_peptide,1107,ENDOTHIAPEPSIN,3mer_peptide,0.0
ENDOTHIAPEPSIN,eqw,1015,ENDOTHIAPEPSIN,eqw,0.0
ENDOTHIAPEPSIN,h77,3761,ENDOTHIAPEPSIN,h77,1.0
ENDOTHIAPEPSIN,h_256,2373,ENDOTHIAPEPSIN,h_256,1.0
ENDOTHIAPEPSIN,pep2,2627,ENDOTHIAPEPSIN,pep2,0.0
ENDOTHIAPEPSIN,ps1,3266,ENDOTHIAPEPSIN,ps1,1.0
ENDOTHIAPEPSIN,ps2,3143,ENDOTHIAPEPSIN,ps2,1.0
ENDOTHIAPEPSIN,tynorphin,1787,ENDOTHIAPEPSIN,tynorphin,0.0
GAG_PRO_POL_POLYPROTEIN,gag_pro_pol_polyprotein_inhibitor,1038,GAG_PRO_POL_POLYPROTEIN,gag_pro_pol_polyprotein_inhibitor,1.0
METALLOPROTEINASE,ekw,633,METALLOPROTEINASE,ekw,1.0
METALLOPROTEINASE,enw,632,METALLOPROTEINASE,enw,1.0
METALLOPROTEINASE,eqw,639,METALLOPROTEINASE,eqw,1.0
METALLOPROTEINASE,h_256,2304,METALLOPROTEINASE,h_256,0.0
NEUTROPHIL_COLLAGENASE,neutrophil_collagenase_inhibitor,587,NEUTROPHIL_COLLAGENASE,neutrophil_collagenase_inhibitor,1.0
NEUTROPHIL_COLLAGENASE,pep2,1507,NEUTROPHIL_COLLAGENASE,pep2,0.0
NS3_4A_PROTEASE,eqw,609,NS3_4A_PROTEASE,eqw,0.0
NS3_PROTEASE,pep3,2430,NS3_PROTEASE,pep3,0.0
PLASMEPSIN_2,aspartic_peptidase_inhibitor_6,4866,PLASMEPSIN_2,aspartic_peptidase_inhibitor_6,1.0
PLASMEPSIN_2,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,2448,PLASMEPSIN_2,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.0
PROTEINASE_K,3c_like_proteinase_inhibitor,2263,PROTEINASE_K,3c_like_proteinase_inhibitor,0.0
