Protein 1,Protein 2,LIA,Protein 1,Protein 2,Binary_Label
3C_LIKE_PROTEINASE,lactoferrin,4154,3C_LIKE_PROTEINASE,lactoferrin,0.0
3C_LIKE_PROTEINASE,ns4a_peptide,3557,3C_LIKE_PROTEINASE,ns4a_peptide,0.0
3C_LIKE_PROTEINASE,pep4,3686,3C_LIKE_PROTEINASE,pep4,1.0
3C_LIKE_PROTEINASE,pep6,2947,3C_LIKE_PROTEINASE,pep6,1.0
3C_LIKE_PROTEINASE,trypsin_inhibitor_1_kallikrein,3246,3C_LIKE_PROTEINASE,trypsin_inhibitor_1_kallikrein,0.0
72_KDA_TYPE_IV_COLLAGENASE,amyloid_beta_a4_protein,3261,72_KDA_TYPE_IV_COLLAGENASE,amyloid_beta_a4_protein,1.0
ALKALINE_PROTEASE,hirugen,4895,ALKALINE_PROTEASE,hirugen,0.0
ALPHA_THROMBIN,hirugen,5841,ALPHA_THROMBIN,hirugen,1.0
ANGIOTENSIN_CONVERTING_ENZYME_2,bradykinin_potentiating_peptide_b,6716,ANGIOTENSIN_CONVERTING_ENZYME_2,bradykinin_potentiating_peptide_b,1.0
ANGIOTENSIN_CONVERTING_ENZYME_2,upain_1_w3a,7150,ANGIOTENSIN_CONVERTING_ENZYME_2,upain_1_w3a,0.0
BACE,aspartic_peptidase_inhibitor_4,4712,BACE,aspartic_peptidase_inhibitor_4,1.0
BACE,aspartic_peptidase_inhibitor_5,3478,BACE,aspartic_peptidase_inhibitor_5,1.0
BACE,bicyclic_peptide_inhibitor,4868,BACE,bicyclic_peptide_inhibitor,0.0
BACE,pvi,3099,BACE,pvi,0.0
BETA_ACROSIN_HEAVY_CHAIN,beta_acrosin_light_chain,7336,BETA_ACROSIN_HEAVY_CHAIN,beta_acrosin_light_chain,1.0
BONT_A,pep6,4084,BONT_A,pep6,0.0
BOTULINUM_NEUROTOXIN_TYPE_A,pep6,575,BOTULINUM_NEUROTOXIN_TYPE_A,pep6,0.0
BOTULINUM_NEUROTOXIN_TYPE_A,synaptotagmin_2,12512,BOTULINUM_NEUROTOXIN_TYPE_A,synaptotagmin_2,1.0
CALCIUM_DEPENDENT_PROTEASE,aspartic_peptidase_inhibitor_1,535,CALCIUM_DEPENDENT_PROTEASE,aspartic_peptidase_inhibitor_1,0.0
CALCIUM_DEPENDENT_PROTEASE,calpastatin,3662,CALCIUM_DEPENDENT_PROTEASE,calpastatin,1.0
CANDIDAPEPSIN_3,synaptotagmin_2,4157,CANDIDAPEPSIN_3,synaptotagmin_2,0.0
COAGULATION_FACTOR_XI,coagulation_factor_xi_inhibitor,3682,COAGULATION_FACTOR_XI,coagulation_factor_xi_inhibitor,1.0
DIPEPTIDYL_PEPTIDASE_3,decapeptide_inhibitor,7208,DIPEPTIDYL_PEPTIDASE_3,decapeptide_inhibitor,0.0
ELASTASE,inhibitor_fr901451,2749,ELASTASE,inhibitor_fr901451,1.0
GAG_PRO_POL_POLYPROTEIN,putative_lipoprotein,1755,GAG_PRO_POL_POLYPROTEIN,putative_lipoprotein,0.0
