Protein 1,Protein 2,ipTM,Protein 1,Protein 2,Binary_Label
3C_LIKE_PROTEINASE,lactoferrin,0.831,3C_LIKE_PROTEINASE,lactoferrin,0.0
3C_LIKE_PROTEINASE,ns4a_peptide,0.548,3C_LIKE_PROTEINASE,ns4a_peptide,0.0
3C_LIKE_PROTEINASE,pep4,0.704,3C_LIKE_PROTEINASE,pep4,1.0
3C_LIKE_PROTEINASE,pep6,0.572,3C_LIKE_PROTEINASE,pep6,1.0
3C_LIKE_PROTEINASE,trypsin_inhibitor_1_kallikrein,0.494,3C_LIKE_PROTEINASE,trypsin_inhibitor_1_kallikrein,0.0
72_KDA_TYPE_IV_COLLAGENASE,amyloid_beta_a4_protein,0.918,72_KDA_TYPE_IV_COLLAGENASE,amyloid_beta_a4_protein,1.0
ALKALINE_PROTEASE,hirugen,0.64,ALKALINE_PROTEASE,hirugen,0.0
ALPHA_THROMBIN,hirugen,0.945,ALPHA_THROMBIN,hirugen,1.0
ANGIOTENSIN_CONVERTING_ENZYME_2,bradykinin_potentiating_peptide_b,0.675,ANGIOTENSIN_CONVERTING_ENZYME_2,bradykinin_potentiating_peptide_b,1.0
ANGIOTENSIN_CONVERTING_ENZYME_2,upain_1_w3a,0.655,ANGIOTENSIN_CONVERTING_ENZYME_2,upain_1_w3a,0.0
BACE,aspartic_peptidase_inhibitor_4,0.683,BACE,aspartic_peptidase_inhibitor_4,1.0
BACE,aspartic_peptidase_inhibitor_5,0.553,BACE,aspartic_peptidase_inhibitor_5,1.0
BACE,bicyclic_peptide_inhibitor,0.511,BACE,bicyclic_peptide_inhibitor,0.0
BACE,pvi,0.536,BACE,pvi,0.0
BETA_ACROSIN_HEAVY_CHAIN,beta_acrosin_light_chain,0.816,BETA_ACROSIN_HEAVY_CHAIN,beta_acrosin_light_chain,1.0
BONT_A,pep6,0.575,BONT_A,pep6,0.0
BOTULINUM_NEUROTOXIN_TYPE_A,pep6,0.608,BOTULINUM_NEUROTOXIN_TYPE_A,pep6,0.0
BOTULINUM_NEUROTOXIN_TYPE_A,synaptotagmin_2,0.932,BOTULINUM_NEUROTOXIN_TYPE_A,synaptotagmin_2,1.0
CALCIUM_DEPENDENT_PROTEASE,aspartic_peptidase_inhibitor_1,0.297,CALCIUM_DEPENDENT_PROTEASE,aspartic_peptidase_inhibitor_1,0.0
CALCIUM_DEPENDENT_PROTEASE,calpastatin,0.92,CALCIUM_DEPENDENT_PROTEASE,calpastatin,1.0
CANDIDAPEPSIN_3,synaptotagmin_2,0.446,CANDIDAPEPSIN_3,synaptotagmin_2,0.0
COAGULATION_FACTOR_XI,coagulation_factor_xi_inhibitor,0.484,COAGULATION_FACTOR_XI,coagulation_factor_xi_inhibitor,1.0
DIPEPTIDYL_PEPTIDASE_3,decapeptide_inhibitor,0.705,DIPEPTIDYL_PEPTIDASE_3,decapeptide_inhibitor,0.0
ELASTASE,inhibitor_fr901451,0.545,ELASTASE,inhibitor_fr901451,1.0
GAG_PRO_POL_POLYPROTEIN,putative_lipoprotein,0.544,GAG_PRO_POL_POLYPROTEIN,putative_lipoprotein,0.0
HUMAN_ADENOVIRUS_D8_PROTEASE,pvi,0.962,HUMAN_ADENOVIRUS_D8_PROTEASE,pvi,1.0
HUMAN_ADENOVIRUS_D8_PROTEASE,upain_1_w3a,0.419,HUMAN_ADENOVIRUS_D8_PROTEASE,upain_1_w3a,0.0
KALLIKREIN_4,calpastatin,0.744,KALLIKREIN_4,calpastatin,0.0
KALLIKREIN_4,trypsin_inhibitor_1_kallikrein,0.952,KALLIKREIN_4,trypsin_inhibitor_1_kallikrein,1.0
METALLOPROTEINASE,trypsin_inhibitor_1_kallikrein,0.875,METALLOPROTEINASE,trypsin_inhibitor_1_kallikrein,0.0
METALLOPROTEINASE,upain_1_w3a,0.54,METALLOPROTEINASE,upain_1_w3a,0.0
MIROLYSIN,mupain_1_17,0.638,MIROLYSIN,mupain_1_17,0.0
MIROLYSIN,putative_lipoprotein,0.504,MIROLYSIN,putative_lipoprotein,1.0
NS3_4A_PROTEASE,product_trif,0.787,NS3_4A_PROTEASE,product_trif,1.0
NS3_PROTEASE,ns4a_peptide,0.947,NS3_PROTEASE,ns4a_peptide,1.0
