Peptidase,Peptidase Family,Inhibitor,Inhibitor Family,Binary Label
ENDOTHIAPEPSIN,Aspartic,h77,Aspartic,1
CALCIUM_DEPENDENT_PROTEASE,Cysteine,calpastatin,Cysteine,1
PROTEINASE_K,Serine,lactoferrin,Serine,1
BETA_ACROSIN_HEAVY_CHAIN,Serine,beta_acrosin_light_chain,Serine,1
BOTULINUM_NEUROTOXIN_TYPE_A,Metallo,synaptotagmin_2,Metallo,1
72_KDA_TYPE_IV_COLLAGENASE,Metallo,amyloid_beta_a4_protein,Metallo,1
SHEWANELLA_ONEIDENSIS_PEPTIDASE,Aspartic,shewanella_odeidensis_peptidase_inhibitor,Aspartic,1
NS3_4A_PROTEASE,Serine,product_trif,Serine,1
DIPEPTIDYL_PEPTIDASE_3,Metallo,tynorphin,Metallo,1
ANGIOTENSIN_CONVERTING_ENZYME,Metallo,angiotensin_2,Metallo,1
HUMAN_ADENOVIRUS_D8_PROTEASE,Cysteine,pvi,Cysteine,1
THERMOLYSIN,Metallo,amyloid_beta_a4_protein_2,Metallo,1
MIROLYSIN,Metallo,putative_lipoprotein,Metallo,1
COAGULATION_FACTOR_XI,Serine,coagulation_factor_xi_inhibitor,Serine,1
GAG_PRO_POL_POLYPROTEIN,Aspartic,gag_pro_pol_polyprotein_inhibitor,Aspartic,1
RENIN,Aspartic,aspartic_peptidase_inhibitor_1,Aspartic,1
RENIN,Aspartic,aspartic_peptidase_inhibitor_2,Aspartic,1
RENIN,Aspartic,aspartic_peptidase_inhibitor_3,Aspartic,1
BACE,Aspartic,aspartic_peptidase_inhibitor_4,Aspartic,1
BACE,Aspartic,aspartic_peptidase_inhibitor_5,Aspartic,1
PLASMEPSIN_2,Aspartic,aspartic_peptidase_inhibitor_6,Aspartic,1
CANDIDAPEPSIN_3,Aspartic,pepstatin_a,Aspartic,1
ENDOTHIAPEPSIN ,Aspartic,h_256,Aspartic,1
CHYMOSIN,Aspartic,cp_113972,Aspartic,1
CAAX_PRENYL_PROTEASE_1_HOMOLOG,Metallo,prelamin_a_c,Metallo,1
SERINE_PROTEASE_NS3,Serine,cp5_46_a_peptide,Serine,1
ANGIOTENSIN_CONVERTING_ENZYME_2,Metallo,bradykinin_potentiating_peptide_b,Metallo,1
SUBTILISIN_LIKE_PROTEASE,Serine,substrate_analogue,Serine,1
UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,Cysteine,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,Cysteine,1
NS3_PROTEASE,Serine,ns4a_peptide,Serine,1
SUBTILISIN_BPN,Serine,subtilisin_bpn_tetrapeptide_inhibitor,Serine,1
3C_LIKE_PROTEINASE,Cysteine,pep2,Cysteine,1
3C_LIKE_PROTEINASE,Cysteine,pep3,Cysteine,1
3C_LIKE_PROTEINASE,Cysteine,pep4,Cysteine,1
3C_LIKE_PROTEINASE,Cysteine,pep6,Cysteine,1
3C_LIKE_PROTEINASE,Cysteine,3c_like_proteinase_inhibitor,Cysteine,1
ALKALINE_PROTEASE,Metallo,alkaline_protease_tetrapeptide_inhibitor,Metallo,1
TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,Serine,two_chain_tissue_plasminogen_activator_inhibitor,Serine,1
THROMBIN,Serine,decapeptide_inhibitor,Serine,1
ALPHA_THROMBIN,Serine,hirugen,Serine,1
ENDOTHIAPEPSIN,Aspartic,ps1,Aspartic,1
ENDOTHIAPEPSIN,Aspartic,ps2,Aspartic,1
ALPHA_THROMBIN_2,Serine,thrombin_nonapeptide_inhibitor,Serine,1
NEUTROPHIL_COLLAGENASE,Metallo,neutrophil_collagenase_inhibitor,Metallo,1
METALLOPROTEINASE,Metallo,enw,Metallo,1
METALLOPROTEINASE,Metallo,ekw,Metallo,1
METALLOPROTEINASE,Metallo,eqw,Metallo,1
TRYPSIN,Serine,trypsin_inhibitor_1,Serine,1
TRYPSIN,Serine,trypsin_inhibitor_2,Serine,1
ELASTASE,Serine,inhibitor_fr901451,Serine,1
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,Serine,upain_1_w3a,Serine,1
BONT_A,Metallo,jth_nb72_39_inhibitior,Metallo,1
ST14_PROTEIN,Serine,trypsin_inhibitor_1,Serine,1
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,Serine,bicyclic_peptide_inhibitor,Serine,1
KALLIKREIN_4,Serine,trypsin_inhibitor_1_kallikrein,Serine,1
SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,Serine,peptide_cglr,Serine,1
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,Serine,mupain_1_17,Serine,1
PLASMA_KALLIKREIN_LIGHT_CHAIN,Serine,plasma_kallikrein_light_chain_inhibitor,Serine,1
TRYPSIN,Serine,9mer_peptide,Serine,1
TRYPSIN,Serine,3mer_peptide,Serine,1
RHOMBOID_PROTEASE_GIPG,Serine,peptide_boronate_inhibitor,Serine,1
RHOMBOID_PROTEASE_GIPG,Serine,peptide_ketoamide_inhibitor,Serine,1
ENDOTHIAPEPSIN,Aspartic,3mer_peptide,Serine,0
CALCIUM_DEPENDENT_PROTEASE,Cysteine,aspartic_peptidase_inhibitor_1,Aspartic,0
PROTEINASE_K,Serine,3c_like_proteinase_inhibitor,Cysteine,0
BETA_ACROSIN_HEAVY_CHAIN,Serine,ps1,Aspartic,0
BOTULINUM_NEUROTOXIN_TYPE_A,Metallo,pep6,Cysteine,0
72_KDA_TYPE_IV_COLLAGENASE,Metallo,pepstatin_a,Aspartic,0
SHEWANELLA_ONEIDENSIS_PEPTIDASE,Aspartic,pep2,Cysteine,0
NS3_4A_PROTEASE,Serine,eqw,Metallo,0
DIPEPTIDYL_PEPTIDASE_3,Metallo,decapeptide_inhibitor,Serine,0
ANGIOTENSIN_CONVERTING_ENZYME,Metallo,aspartic_peptidase_inhibitor_6,Aspartic,0
HUMAN_ADENOVIRUS_D8_PROTEASE,Cysteine,upain_1_w3a,Serine,0
THERMOLYSIN,Metallo,pvi,Cysteine,0
MIROLYSIN,Metallo,mupain_1_17,Serine,0
COAGULATION_FACTOR_XI,Serine,pepstatin_a,Aspartic,0
GAG_PRO_POL_POLYPROTEIN,Aspartic,putative_lipoprotein,Metallo,0
RENIN,Aspartic,hirugen,Serine,0
RENIN,Aspartic,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,Cysteine,0
RENIN,Aspartic,bradykinin_potentiating_peptide_b,Metallo,0
BACE,Aspartic,pvi,Cysteine,0
BACE,Aspartic,bicyclic_peptide_inhibitor,Serine,0
PLASMEPSIN_2,Aspartic,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,Cysteine,0
CANDIDAPEPSIN_3,Aspartic,synaptotagmin_2,Metallo,0
ENDOTHIAPEPSIN ,Aspartic,tynorphin,Metallo,0
CHYMOSIN,Aspartic,pep2,Cysteine,0
CAAX_PRENYL_PROTEASE_1_HOMOLOG,Metallo,3c_like_proteinase_inhibitor,Cysteine,0
SERINE_PROTEASE_NS3,Serine,3c_like_proteinase_inhibitor,Cysteine,0
ANGIOTENSIN_CONVERTING_ENZYME_2,Metallo,upain_1_w3a,Serine,0
SUBTILISIN_LIKE_PROTEASE,Serine,bradykinin_potentiating_peptide_b,Metallo,0
UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,Cysteine,beta_acrosin_light_chain,Serine,0
NS3_PROTEASE,Serine,pep3,Cysteine,0
SUBTILISIN_BPN,Serine,h77,Aspartic,0
3C_LIKE_PROTEINASE,Cysteine,peptide_ketoamide_inhibitor,Serine,0
3C_LIKE_PROTEINASE,Cysteine,peptide_cglr,Serine,0
3C_LIKE_PROTEINASE,Cysteine,lactoferrin,Serine,0
3C_LIKE_PROTEINASE,Cysteine,ns4a_peptide,Serine,0
3C_LIKE_PROTEINASE,Cysteine,trypsin_inhibitor_1_kallikrein,Serine,0
ALKALINE_PROTEASE,Metallo,hirugen,Serine,0
TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,Serine,ps1,Aspartic,0
THROMBIN,Serine,aspartic_peptidase_inhibitor_1,Aspartic,0
ALPHA_THROMBIN,Serine,tynorphin,Metallo,0
ENDOTHIAPEPSIN,Aspartic,eqw,Metallo,0
ENDOTHIAPEPSIN,Aspartic,pep2,Cysteine,0
ALPHA_THROMBIN_2,Serine,ps2,Aspartic,0
NEUTROPHIL_COLLAGENASE,Metallo,pep2,Cysteine,0
METALLOPROTEINASE,Metallo,h_256,Aspartic,0
METALLOPROTEINASE,Metallo,trypsin_inhibitor_1_kallikrein,Serine,0
METALLOPROTEINASE,Metallo,upain_1_w3a,Serine,0
TRYPSIN,Serine,pep4,Cysteine,0
TRYPSIN,Serine,3c_like_proteinase_inhibitor,Cysteine,0
ELASTASE,Serine,3c_like_proteinase_inhibitor,Cysteine,0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,Serine,prelamin_a_c,Metallo,0
BONT_A,Metallo,pep6,Cysteine,0
ST14_PROTEIN,Serine,pvi,Cysteine,0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,Serine,pep6,Cysteine,0
KALLIKREIN_4,Serine,calpastatin,Cysteine,0
SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,Serine,neutrophil_collagenase_inhibitor,Metallo,0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,Serine,angiotensin_2,Metallo,0
PLASMA_KALLIKREIN_LIGHT_CHAIN,Serine,synaptotagmin_2,Metallo,0
TRYPSIN,Serine,cp_113972,Aspartic,0
TRYPSIN,Serine,amyloid_beta_a4_protein_2,Metallo,0
RHOMBOID_PROTEASE_GIPG,Serine,amyloid_beta_a4_protein,Metallo,0
RHOMBOID_PROTEASE_GIPG,Serine,eqw,Metallo,0
