Protein 1,Protein 2,ipTM,Binary_Label
ALKALINE_PROTEASE_1,afuei,0.928,1.0
ALKALINE_PROTEASE_1,latexin,0.848,0.0
CALPAIN,calpastatin,0.85,1.0
CALPAIN,kininogen_inhibitor_unit_2,0.778,1.0
CALPAIN,rhodniin,0.272,0.0
CALPAIN,tci1,0.295,0.0
CALPAIN_2,calpastatin_2,0.776,1.0
CALPAIN_2,pancreatic_trypsin_inhibitor,0.351,0.0
CARBOXYPEPTIDASE_A1,tci1,0.957,1.0
CARBOXYPEPTIDASE_A1,trypsin_inhibitor,0.471,0.0
CARBOXYPEPTIDASE_A4,latexin,0.943,1.0
CARBOXYPEPTIDASE_A4,pancreatic_trypsin_inhibitor,0.658,0.0
CARBOXYPEPTIDASE_B,serine_protease_inhibitor_1,0.382,0.0
CARBOXYPEPTIDASE_B,tci1,0.959,1.0
CATHEPSIN_D,latexin,0.303,0.0
CATHEPSIN_D,potato_cathepsin_d_inhibitor,0.609,1.0
CATHEPSIN_H,cystatin_A,0.927,1.0
CATHEPSIN_H,kunitz_trypsin_inhibitor_4,0.162,0.0
CATHEPSIN_L,falstatin,0.936,1.0
CATHEPSIN_L,tci1,0.593,0.0
CHYMOTRYPSIN_A,cystatin_B,0.453,0.0
CHYMOTRYPSIN_A,serine_protease_inhibitor_1,0.91,1.0
CP_1,amoebiasin_2,0.924,1.0
CP_1,potato_cathepsin_d_inhibitor,0.212,0.0
CP_2,amoebiasin_2,0.922,1.0
CP_2,pancreatic_trypsin_inhibitor,0.896,0.0
ELASTASE,cmpi-ii,0.881,1.0
ELASTASE,falstatin,0.777,0.0
ELASTASE,potato_cathepsin_d_inhibitor,0.575,0.0
ELASTASE,serine_protease_inhibitor_1,0.373,1.0
KALICREIN,amoebiasin_2,0.416,0.0
KALICREIN,erwinia_chrysanthemi_inhibitor,0.229,0.0
KALICREIN,pancreatic_trypsin_inhibitor,0.92,1.0
KALLIKREIN,taicotoxin,0.916,1.0
KEXIN,kexstatin-1,0.902,1.0
KEXIN,kininogen_inhibitor_unit_2,0.562,0.0
MMP_1,amoebiasin_2,0.689,0.0
MMP_1,timp_1,0.865,1.0
MMP_3,cystatin_A,0.434,0.0
MMP_3,timp_1,0.901,1.0
PAPAIN,aspin,0.534,0.0
PAPAIN,chagasin,0.927,1.0
PAPAIN,cmpi-ii,0.305,0.0
PAPAIN,cystatin_A,0.931,1.0
PAPAIN,cystatin_B,0.935,1.0
PAPAIN,equistatin,0.902,1.0
PAPAIN,falstatin,0.942,1.0
PAPAIN,serralysin_inh,0.435,0.0
PAPAIN,taicotoxin,0.386,0.0
PAPAIN,tci1,0.489,0.0
PEPSIN,amoebiasin_2,0.282,0.0
PEPSIN,aspin,0.856,1.0
PEPSIN,ecotin,0.234,0.0
PEPSIN,sqapi,0.864,1.0
PROTEINASE_A,cmpi-ii,0.68,0.0
PROTEINASE_A,proteinase_inhibitor_ia3_peptide,0.942,1.0
PROTHROMBIN,prothrombin_inhibitor,0.93,1.0
PROTHROMBIN,smpi,0.363,0.0
SACCHAROPEPSIN,cystatin_A,0.719,0.0
SACCHAROPEPSIN,saccharopepsin_inh,0.906,1.0
SERRALYSIN,aspin,0.163,0.0
SERRALYSIN,erwinia_chrysanthemi_inhibitor,0.953,1.0
SERRALYSIN,ovomucoid_inhibitor_unit_3,0.229,0.0
SERRALYSIN,serralysin_inh,0.893,1.0
SPOIVFB,amoebiasin_2,0.253,0.0
SPOIVFB,bofa,0.311,1.0
SUBTILISIN_A,calpastatin,0.374,0.0
SUBTILISIN_A,chagasin,0.334,0.0
SUBTILISIN_A,cmpi-ii,0.928,1.0
SUBTILISIN_A,protease_inhibitor_hpi,0.935,1.0
THERMOLYSIN,impi,0.916,1.0
THERMOLYSIN,protease_inhibitor_hpi,0.32,0.0
THERMOLYSIN,smpi,0.908,1.0
THERMOLYSIN,sqapi,0.595,0.0
THROMBIN,rhodniin,0.913,1.0
THROMBIN,serralysin_inh,0.207,0.0
TRYPSIN,amoebiasin_2,0.28,0.0
TRYPSIN,calpastatin,0.491,0.0
TRYPSIN,cystatin_A,0.831,0.0
TRYPSIN,kunitz_trypsin_inhibitor_4,0.901,1.0
TRYPSIN,latexin,0.305,0.0
TRYPSIN,ovomucoid_inhibitor_unit_3,0.932,1.0
TRYPSIN,pancreatic_trypsin_inhibitor,0.939,1.0
TRYPSIN,serine_protease_inhibitor_1,0.915,1.0
TRYPSIN,serralysin_inh,0.663,0.0
TRYPSIN,smpi,0.697,0.0
TRYPSIN,sqapi,0.293,0.0
TRYPSIN,taicotoxin,0.935,1.0
TRYPSIN,trypsin_inhibitor,0.929,1.0
TRYPSIN,trypsin_inhibitor_2,0.95,1.0
TRYPSIN_II_ANIONIC,ecotin,0.934,1.0
TRYPSIN_II_ANIONIC,potato_cathepsin_d_inhibitor,0.891,0.0
