Protein 1,Protein 2,LIS,LIA,ipTM,pTM,AFM Confidence,pLDDT,Protein 1,Protein 2,Binary_Label
ALKALINE_PROTEASE_1,afuei,0.00663325,29.19246478,0.002302173,0.001095445,0.001923538,0.111166542,ALKALINE_PROTEASE_1,afuei,1
ALKALINE_PROTEASE_1,latexin,0.243040532,61209.46183,0.290645489,0.137868778,0.260067683,2.693766564,ALKALINE_PROTEASE_1,latexin,0
CALPAIN,calpastatin,0.043852024,4461.428191,0.034420924,0.009864076,0.027622455,0.762506393,CALPAIN,calpastatin,1
CALPAIN,kininogen_inhibitor_unit_2,0.0171114,69305.27687,0.096040616,0.04035096,0.08438187,2.99598503,CALPAIN,kininogen_inhibitor_unit_2,1
CALPAIN,rhodniin,0,0,0.012853015,0.010954451,0.011523888,0.582559697,CALPAIN,rhodniin,0
CALPAIN,tci1,0,0,0.023340951,0.020243517,0.020897368,1.235313037,CALPAIN,tci1,0
CALPAIN_2,calpastatin_2,0.043897608,4786.403138,0.029760712,0.014293355,0.023847432,0.852615271,CALPAIN_2,calpastatin_2,1
CALPAIN_2,pancreatic_trypsin_inhibitor,0.003714835,1.303840481,0.025524498,0.012280065,0.019524344,0.61177504,CALPAIN_2,pancreatic_trypsin_inhibitor,0
CARBOXYPEPTIDASE_A1,tci1,0.008167007,100.3827674,0.001581139,0.00083666,0.001581139,0.128764125,CARBOXYPEPTIDASE_A1,tci1,1
CARBOXYPEPTIDASE_A1,trypsin_inhibitor,0.073084198,3571.159476,0.128224413,0.013352902,0.105282952,0.542346107,CARBOXYPEPTIDASE_A1,trypsin_inhibitor,0
CARBOXYPEPTIDASE_A4,latexin,0.007569676,241.7432522,0.001643168,0.001949359,0.001643168,0.086765777,CARBOXYPEPTIDASE_A4,latexin,1
CARBOXYPEPTIDASE_A4,pancreatic_trypsin_inhibitor,0.076364259,9543.002368,0.137725088,0.02241205,0.114676502,2.768681058,CARBOXYPEPTIDASE_A4,pancreatic_trypsin_inhibitor,0
