,Protein 1,Protein 2,LIS,LIA,ipTM,pTM,AFM Confidence,pLDDT,PDB file path,PKL file path,MSA_depth_peptidase,MSA_depth_inhibitors,Binary_Label
ANGIOTENSIN_CONVERTING_ENZYME_and_angiotensin_2_1,ANGIOTENSIN_CONVERTING_ENZYME,angiotensin_2,0.205,4606,0.634,0.959,0.699,95.961,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,23441,15,1
ANGIOTENSIN_CONVERTING_ENZYME_and_angiotensin_2_2,ANGIOTENSIN_CONVERTING_ENZYME,angiotensin_2,0.215,4618,0.667,0.958,0.725,96.339,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,23441,15,1
ANGIOTENSIN_CONVERTING_ENZYME_and_angiotensin_2_3,ANGIOTENSIN_CONVERTING_ENZYME,angiotensin_2,0.227,4647,0.657,0.961,0.717,96.315,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,23441,15,1
ANGIOTENSIN_CONVERTING_ENZYME_and_angiotensin_2_4,ANGIOTENSIN_CONVERTING_ENZYME,angiotensin_2,0.352,6067,0.804,0.961,0.835,96.852,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,23441,15,1
ANGIOTENSIN_CONVERTING_ENZYME_and_angiotensin_2_5,ANGIOTENSIN_CONVERTING_ENZYME,angiotensin_2,0.28,4781,0.725,0.963,0.772,96.354,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,23441,15,1
TRYPSIN_and_9mer_peptide_1,TRYPSIN,9mer_peptide,0.771,4014,0.961,0.957,0.96,98.263,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,153562,101,1
TRYPSIN_and_9mer_peptide_2,TRYPSIN,9mer_peptide,0.771,4013,0.96,0.956,0.959,98.198,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,153562,101,1
TRYPSIN_and_9mer_peptide_3,TRYPSIN,9mer_peptide,0.778,4014,0.961,0.957,0.96,98.353,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,153562,101,1
TRYPSIN_and_9mer_peptide_4,TRYPSIN,9mer_peptide,0.792,4014,0.963,0.958,0.962,98.407,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,153562,101,1
TRYPSIN_and_9mer_peptide_5,TRYPSIN,9mer_peptide,0.778,4014,0.962,0.958,0.961,98.463,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,153562,101,1
ENDOTHIAPEPSIN_and_pep2_1,ENDOTHIAPEPSIN,pep2,0.201,2370,0.514,0.94,0.599,95.291,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,41523,1,0
ENDOTHIAPEPSIN_and_pep2_2,ENDOTHIAPEPSIN,pep2,0.232,2473,0.552,0.938,0.629,95.347,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,41523,1,0
ENDOTHIAPEPSIN_and_pep2_3,ENDOTHIAPEPSIN,pep2,0.24,2438,0.583,0.941,0.655,95.664,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,41523,1,0
ENDOTHIAPEPSIN_and_pep2_4,ENDOTHIAPEPSIN,pep2,0.214,2392,0.534,0.94,0.615,95.175,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,41523,1,0
ENDOTHIAPEPSIN_and_pep2_5,ENDOTHIAPEPSIN,pep2,0.237,2627,0.587,0.942,0.658,95.48,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,41523,1,0
THROMBIN_and_aspartic_peptidase_inhibitor_1_1,THROMBIN,aspartic_peptidase_inhibitor_1,0.239,2740,0.569,0.909,0.637,88.04,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,147077,11,0
THROMBIN_and_aspartic_peptidase_inhibitor_1_2,THROMBIN,aspartic_peptidase_inhibitor_1,0.23,2664,0.568,0.909,0.636,88.139,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,147077,11,0
THROMBIN_and_aspartic_peptidase_inhibitor_1_3,THROMBIN,aspartic_peptidase_inhibitor_1,0.236,2844,0.582,0.908,0.647,87.802,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,147077,11,0
THROMBIN_and_aspartic_peptidase_inhibitor_1_4,THROMBIN,aspartic_peptidase_inhibitor_1,0.223,2577,0.554,0.905,0.624,87.189,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,147077,11,0
THROMBIN_and_aspartic_peptidase_inhibitor_1_5,THROMBIN,aspartic_peptidase_inhibitor_1,0.194,2472,0.521,0.903,0.597,86.758,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,147077,11,0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR_and_angiotensin_2_1,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,angiotensin_2,0.233,2014,0.532,0.929,0.611,93.281,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,142884,15,0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR_and_angiotensin_2_2,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,angiotensin_2,0.253,2061,0.568,0.928,0.64,93.431,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,142884,15,0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR_and_angiotensin_2_3,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,angiotensin_2,0.234,1984,0.532,0.93,0.612,93.416,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,142884,15,0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR_and_angiotensin_2_4,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,angiotensin_2,0.227,1959,0.513,0.929,0.596,93.225,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,142884,15,0
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR_and_angiotensin_2_5,UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,angiotensin_2,0.24,1758,0.512,0.93,0.596,93.253,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,142884,15,0
RHOMBOID_PROTEASE_GIPG_and_peptide_ketoamide_inhibitor_1,RHOMBOID_PROTEASE_GIPG,peptide_ketoamide_inhibitor,0.602,1986,0.892,0.839,0.882,88.22,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,21885,1,1
RHOMBOID_PROTEASE_GIPG_and_peptide_ketoamide_inhibitor_2,RHOMBOID_PROTEASE_GIPG,peptide_ketoamide_inhibitor,0.645,2004,0.913,0.847,0.9,89.335,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,21885,1,1
RHOMBOID_PROTEASE_GIPG_and_peptide_ketoamide_inhibitor_3,RHOMBOID_PROTEASE_GIPG,peptide_ketoamide_inhibitor,0.586,1994,0.896,0.838,0.884,87.642,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,21885,1,1
RHOMBOID_PROTEASE_GIPG_and_peptide_ketoamide_inhibitor_4,RHOMBOID_PROTEASE_GIPG,peptide_ketoamide_inhibitor,0.61,1970,0.898,0.838,0.886,87.967,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,21885,1,1
RHOMBOID_PROTEASE_GIPG_and_peptide_ketoamide_inhibitor_5,RHOMBOID_PROTEASE_GIPG,peptide_ketoamide_inhibitor,0.603,2057,0.902,0.839,0.889,87.207,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,21885,1,1
ENDOTHIAPEPSIN_and_eqw_1,ENDOTHIAPEPSIN,eqw,0.196,997,0.547,0.948,0.627,97.208,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,41523,1,0
ENDOTHIAPEPSIN_and_eqw_2,ENDOTHIAPEPSIN,eqw,0.223,999,0.589,0.945,0.66,97.217,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,41523,1,0
ENDOTHIAPEPSIN_and_eqw_3,ENDOTHIAPEPSIN,eqw,0.338,1015,0.75,0.949,0.79,97.447,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,41523,1,0
ENDOTHIAPEPSIN_and_eqw_4,ENDOTHIAPEPSIN,eqw,0.296,1012,0.656,0.949,0.714,97.364,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,41523,1,0
ENDOTHIAPEPSIN_and_eqw_5,ENDOTHIAPEPSIN,eqw,0.301,1004,0.673,0.948,0.728,97.257,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,41523,1,0
ALKALINE_PROTEASE_and_hirugen_1,ALKALINE_PROTEASE,hirugen,0.191,4029,0.612,0.933,0.677,93.092,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,57089,25,0
ALKALINE_PROTEASE_and_hirugen_2,ALKALINE_PROTEASE,hirugen,0.218,4895,0.64,0.931,0.699,93.278,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,57089,25,0
ALKALINE_PROTEASE_and_hirugen_3,ALKALINE_PROTEASE,hirugen,0.137,2928,0.521,0.928,0.602,92.72,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,57089,25,0
ALKALINE_PROTEASE_and_hirugen_4,ALKALINE_PROTEASE,hirugen,0.174,4142,0.6,0.932,0.666,92.876,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,57089,25,0
ALKALINE_PROTEASE_and_hirugen_5,ALKALINE_PROTEASE,hirugen,0.154,4031,0.593,0.934,0.661,93.025,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,57089,25,0
MIROLYSIN_and_mupain_1_17_1,MIROLYSIN,mupain_1_17,0.254,2808,0.579,0.942,0.652,94.787,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,21859,5,0
MIROLYSIN_and_mupain_1_17_2,MIROLYSIN,mupain_1_17,0.313,2884,0.638,0.945,0.699,95.194,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,21859,5,0
MIROLYSIN_and_mupain_1_17_3,MIROLYSIN,mupain_1_17,0.279,2829,0.597,0.943,0.667,94.639,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,21859,5,0
MIROLYSIN_and_mupain_1_17_4,MIROLYSIN,mupain_1_17,0.257,2795,0.581,0.944,0.653,94.775,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,21859,5,0
MIROLYSIN_and_mupain_1_17_5,MIROLYSIN,mupain_1_17,0.283,2814,0.609,0.944,0.676,94.668,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,21859,5,0
THERMOLYSIN_and_pvi_1,THERMOLYSIN,pvi,0.276,3483,0.632,0.954,0.696,96.43,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,29160,10,0
THERMOLYSIN_and_pvi_2,THERMOLYSIN,pvi,0.28,3358,0.604,0.952,0.674,96.252,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,29160,10,0
THERMOLYSIN_and_pvi_3,THERMOLYSIN,pvi,0.353,4232,0.686,0.955,0.74,96.946,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,29160,10,0
THERMOLYSIN_and_pvi_4,THERMOLYSIN,pvi,0.28,3501,0.613,0.953,0.681,96.086,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,29160,10,0
THERMOLYSIN_and_pvi_5,THERMOLYSIN,pvi,0.282,3423,0.612,0.953,0.681,95.967,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,29160,10,0
PLASMEPSIN_2_and_aspartic_peptidase_inhibitor_6_1,PLASMEPSIN_2,aspartic_peptidase_inhibitor_6,0.254,2491,0.604,0.905,0.664,90.096,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,45489,2,1
PLASMEPSIN_2_and_aspartic_peptidase_inhibitor_6_2,PLASMEPSIN_2,aspartic_peptidase_inhibitor_6,0.578,4866,0.92,0.916,0.919,92.756,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,45489,2,1
PLASMEPSIN_2_and_aspartic_peptidase_inhibitor_6_3,PLASMEPSIN_2,aspartic_peptidase_inhibitor_6,0.246,2590,0.63,0.907,0.685,90.845,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,45489,2,1
PLASMEPSIN_2_and_aspartic_peptidase_inhibitor_6_4,PLASMEPSIN_2,aspartic_peptidase_inhibitor_6,0.252,2476,0.62,0.902,0.677,89.628,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,45489,2,1
PLASMEPSIN_2_and_aspartic_peptidase_inhibitor_6_5,PLASMEPSIN_2,aspartic_peptidase_inhibitor_6,0.568,4819,0.914,0.915,0.915,92.011,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,45489,2,1
ELASTASE_and_3c_like_proteinase_inhibitor_1,ELASTASE,3c_like_proteinase_inhibitor,0.262,1259,0.563,0.95,0.641,96.572,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,148820,1,0
ELASTASE_and_3c_like_proteinase_inhibitor_2,ELASTASE,3c_like_proteinase_inhibitor,0.313,1312,0.627,0.951,0.692,96.861,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,148820,1,0
ELASTASE_and_3c_like_proteinase_inhibitor_3,ELASTASE,3c_like_proteinase_inhibitor,0.402,1499,0.757,0.956,0.797,97.352,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,148820,1,0
ELASTASE_and_3c_like_proteinase_inhibitor_4,ELASTASE,3c_like_proteinase_inhibitor,0.261,1288,0.574,0.953,0.65,96.808,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,148820,1,0
