Protein 1,Protein 2,LIS,LIA,ipTM,pTM,AFM Confidence,pLDDT,MSA_depth_peptidase,MSA_depth_inhibitors,Binary_Label
3C_LIKE_PROTEINASE,3c_like_proteinase_inhibitor,0.4928,2487.2,0.8892,0.9114000000000001,0.8936,95.816,2065.0,1.0,1.0
3C_LIKE_PROTEINASE,lactoferrin,0.299,3111.4,0.626,0.9057999999999999,0.682,93.796,2065.0,1.0,0.0
3C_LIKE_PROTEINASE,ns4a_peptide,0.1908,2748.6,0.4614,0.8962,0.5484,91.9128,2065.0,10.0,0.0
3C_LIKE_PROTEINASE,pep2,0.231,2353.4,0.5838,0.9088,0.6487999999999999,93.8018,2065.0,1.0,1.0
3C_LIKE_PROTEINASE,pep3,0.21000000000000002,2318.2,0.569,0.9067999999999999,0.6364,93.5106,2065.0,1.0,1.0
3C_LIKE_PROTEINASE,pep4,0.2384,2923.2,0.5846,0.907,0.6487999999999999,93.4736,2065.0,5.0,1.0
3C_LIKE_PROTEINASE,pep6,0.2004,2697.4,0.5484,0.907,0.6202,93.1134,2065.0,5.0,1.0
3C_LIKE_PROTEINASE,peptide_cglr,0.3666,1381.2,0.783,0.9114000000000001,0.8088,95.33959999999999,2065.0,2.0,0.0
3C_LIKE_PROTEINASE,peptide_ketoamide_inhibitor,0.266,1879.0,0.6442,0.9114000000000001,0.6978,94.4764,2065.0,1.0,0.0
3C_LIKE_PROTEINASE,trypsin_inhibitor_1_kallikrein,0.1672,2932.4,0.47359999999999997,0.882,0.5554,91.593,2065.0,59.0,0.0
72_KDA_TYPE_IV_COLLAGENASE,amyloid_beta_a4_protein,0.4614,2436.6,0.6891999999999999,0.9294,0.7372,94.4076,30094.0,6.0,1.0
72_KDA_TYPE_IV_COLLAGENASE,pepstatin_a,0.3846,1286.6,0.6910000000000001,0.9332,0.7394000000000001,95.6472,30094.0,1.0,0.0
ALKALINE_PROTEASE,alkaline_protease_tetrapeptide_inhibitor,0.28179999999999994,1862.6,0.7378,0.9395999999999999,0.778,94.3426,57089.0,1.0,1.0
ALKALINE_PROTEASE,hirugen,0.1748,4005.0,0.5932000000000001,0.9316000000000001,0.661,92.9982,57089.0,25.0,0.0
ALPHA_THROMBIN,hirugen,0.6378,5638.0,0.9372,0.9200000000000002,0.9338000000000001,90.72319999999999,147369.0,25.0,1.0
ALPHA_THROMBIN,thrombin_nonapeptide_inhibitor,0.42699999999999994,3873.4,0.7998000000000001,0.9162000000000001,0.8230000000000001,89.75219999999999,147369.0,15.0,1.0
ALPHA_THROMBIN,tynorphin,0.37160000000000004,1759.0,0.7812,0.9154,0.808,89.9758,147369.0,3.0,0.0
ALPHA_THROMBIN_2,ps2,0.2524,2133.6,0.6056,0.913,0.6672,88.8194,147077.0,8.0,0.0
ANGIOTENSIN_CONVERTING_ENZYME,angiotensin_2,0.25579999999999997,4943.8,0.6974,0.9603999999999999,0.7495999999999999,96.36420000000001,23441.0,15.0,1.0
ANGIOTENSIN_CONVERTING_ENZYME,aspartic_peptidase_inhibitor_6,0.2314,4656.4,0.6806,0.96,0.7365999999999999,96.223,23441.0,2.0,0.0
ANGIOTENSIN_CONVERTING_ENZYME_2,bradykinin_potentiating_peptide_b,0.2004,6254.6,0.631,0.8992000000000001,0.6846,92.82939999999999,23084.0,2.0,1.0
ANGIOTENSIN_CONVERTING_ENZYME_2,upain_1_w3a,0.1884,7077.6,0.6394,0.8972,0.6910000000000001,92.4516,23084.0,21.0,0.0
BACE,aspartic_peptidase_inhibitor_4,0.2414,4403.6,0.6476,0.8326,0.6846,87.7384,35154.0,7.0,1.0
BACE,aspartic_peptidase_inhibitor_5,0.147,2867.8,0.5096,0.8283999999999999,0.5734,87.21119999999999,35154.0,2.0,1.0
BACE,bicyclic_peptide_inhibitor,0.1014,3900.0,0.4864,0.8235999999999999,0.554,86.116,35154.0,18.0,0.0
BACE,pvi,0.0716,1343.2,0.46580000000000005,0.826,0.5378000000000001,87.04839999999999,35154.0,10.0,0.0
BETA_ACROSIN_HEAVY_CHAIN,beta_acrosin_light_chain,0.5892,7100.4,0.805,0.86,0.8161999999999999,89.0584,151387.0,104.0,1.0
BETA_ACROSIN_HEAVY_CHAIN,ps1,0.3012,1613.0,0.6516,0.8652,0.6944,88.5096,151387.0,1.0,0.0
BONT_A,jth_nb72_39_inhibitior,0.20779999999999998,3245.8,0.6115999999999999,0.9576,0.681,95.1544,2567.0,3.0,1.0
BONT_A,pep6,0.0962,2553.4,0.5264,0.9526,0.6115999999999999,94.65119999999999,2567.0,5.0,0.0
BOTULINUM_NEUROTOXIN_TYPE_A,pep6,0.0086,115.0,0.5174,0.7074,0.5556,88.1168,4820.0,5.0,0.0
BOTULINUM_NEUROTOXIN_TYPE_A,synaptotagmin_2,0.2978,9789.6,0.8426,0.7051999999999999,0.8154,88.5864,4820.0,52.0,1.0
CAAX_PRENYL_PROTEASE_1_HOMOLOG,3c_like_proteinase_inhibitor,0.14279999999999998,1981.0,0.5694,0.873,0.6302,89.43260000000001,38519.0,1.0,0.0
CAAX_PRENYL_PROTEASE_1_HOMOLOG,prelamin_a_c,0.1018,1273.8,0.5418,0.8720000000000001,0.608,89.6712,38519.0,1.0,1.0
CALCIUM_DEPENDENT_PROTEASE,aspartic_peptidase_inhibitor_1,0.0158,122.6,0.262,0.8493999999999999,0.3792,85.9148,30055.0,11.0,0.0
CALCIUM_DEPENDENT_PROTEASE,calpastatin,0.5918,3277.6,0.8318,0.9048,0.8462,94.054,30055.0,8.0,1.0
CANDIDAPEPSIN_3,pepstatin_a,0.10500000000000001,1737.8,0.5008,0.9384,0.5883999999999999,95.303,44252.0,1.0,1.0
CANDIDAPEPSIN_3,synaptotagmin_2,0.1288,3436.0,0.4034,0.9128000000000001,0.5052,90.99719999999999,44252.0,52.0,0.0
CHYMOSIN,cp_113972,0.2998,1779.8,0.6724,0.9426,0.7262,95.1646,54725.0,1.0,1.0
CHYMOSIN,pep2,0.3282,3135.4,0.7054,0.9404,0.7524,94.67920000000001,54725.0,1.0,0.0
COAGULATION_FACTOR_XI,coagulation_factor_xi_inhibitor,0.1214,2508.2,0.42140000000000005,0.9,0.5172000000000001,89.35419999999999,158033.0,12.0,1.0
COAGULATION_FACTOR_XI,pepstatin_a,0.3634,1696.8,0.6968,0.9318000000000002,0.7436,94.4618,158033.0,1.0,0.0
