Protein 1,Protein 2,ipTM,Protein 1,Protein 2,Binary_Label
3C_LIKE_PROTEINASE,3c_like_proteinase_inhibitor,0.913,3C_LIKE_PROTEINASE,3c_like_proteinase_inhibitor,1.0
3C_LIKE_PROTEINASE,pep2,0.652,3C_LIKE_PROTEINASE,pep2,1.0
3C_LIKE_PROTEINASE,pep3,0.6,3C_LIKE_PROTEINASE,pep3,1.0
3C_LIKE_PROTEINASE,peptide_cglr,0.831,3C_LIKE_PROTEINASE,peptide_cglr,0.0
3C_LIKE_PROTEINASE,peptide_ketoamide_inhibitor,0.685,3C_LIKE_PROTEINASE,peptide_ketoamide_inhibitor,0.0
72_KDA_TYPE_IV_COLLAGENASE,pepstatin_a,0.763,72_KDA_TYPE_IV_COLLAGENASE,pepstatin_a,0.0
ALKALINE_PROTEASE,alkaline_protease_tetrapeptide_inhibitor,0.792,ALKALINE_PROTEASE,alkaline_protease_tetrapeptide_inhibitor,1.0
ALPHA_THROMBIN,thrombin_nonapeptide_inhibitor,0.922,ALPHA_THROMBIN,thrombin_nonapeptide_inhibitor,1.0
ALPHA_THROMBIN,tynorphin,0.868,ALPHA_THROMBIN,tynorphin,0.0
ALPHA_THROMBIN_2,ps2,0.662,ALPHA_THROMBIN_2,ps2,0.0
ANGIOTENSIN_CONVERTING_ENZYME,angiotensin_2,0.804,ANGIOTENSIN_CONVERTING_ENZYME,angiotensin_2,1.0
ANGIOTENSIN_CONVERTING_ENZYME,aspartic_peptidase_inhibitor_6,0.705,ANGIOTENSIN_CONVERTING_ENZYME,aspartic_peptidase_inhibitor_6,0.0
BETA_ACROSIN_HEAVY_CHAIN,ps1,0.684,BETA_ACROSIN_HEAVY_CHAIN,ps1,0.0
BONT_A,jth_nb72_39_inhibitior,0.643,BONT_A,jth_nb72_39_inhibitior,1.0
CAAX_PRENYL_PROTEASE_1_HOMOLOG,3c_like_proteinase_inhibitor,0.642,CAAX_PRENYL_PROTEASE_1_HOMOLOG,3c_like_proteinase_inhibitor,0.0
CAAX_PRENYL_PROTEASE_1_HOMOLOG,prelamin_a_c,0.627,CAAX_PRENYL_PROTEASE_1_HOMOLOG,prelamin_a_c,1.0
CANDIDAPEPSIN_3,pepstatin_a,0.532,CANDIDAPEPSIN_3,pepstatin_a,1.0
CHYMOSIN,cp_113972,0.812,CHYMOSIN,cp_113972,1.0
CHYMOSIN,pep2,0.811,CHYMOSIN,pep2,0.0
COAGULATION_FACTOR_XI,pepstatin_a,0.857,COAGULATION_FACTOR_XI,pepstatin_a,0.0
DIPEPTIDYL_PEPTIDASE_3,tynorphin,0.892,DIPEPTIDYL_PEPTIDASE_3,tynorphin,1.0
ELASTASE,3c_like_proteinase_inhibitor,0.757,ELASTASE,3c_like_proteinase_inhibitor,0.0
ENDOTHIAPEPSIN,3mer_peptide,0.784,ENDOTHIAPEPSIN,3mer_peptide,0.0
ENDOTHIAPEPSIN,eqw,0.75,ENDOTHIAPEPSIN,eqw,0.0
ENDOTHIAPEPSIN,h77,0.808,ENDOTHIAPEPSIN,h77,1.0
ENDOTHIAPEPSIN,h_256,0.596,ENDOTHIAPEPSIN,h_256,1.0
ENDOTHIAPEPSIN,pep2,0.587,ENDOTHIAPEPSIN,pep2,0.0
ENDOTHIAPEPSIN,ps1,0.868,ENDOTHIAPEPSIN,ps1,1.0
ENDOTHIAPEPSIN,ps2,0.72,ENDOTHIAPEPSIN,ps2,1.0
ENDOTHIAPEPSIN,tynorphin,0.756,ENDOTHIAPEPSIN,tynorphin,0.0
GAG_PRO_POL_POLYPROTEIN,gag_pro_pol_polyprotein_inhibitor,0.649,GAG_PRO_POL_POLYPROTEIN,gag_pro_pol_polyprotein_inhibitor,1.0
METALLOPROTEINASE,ekw,0.591,METALLOPROTEINASE,ekw,1.0
METALLOPROTEINASE,enw,0.634,METALLOPROTEINASE,enw,1.0
METALLOPROTEINASE,eqw,0.612,METALLOPROTEINASE,eqw,1.0
METALLOPROTEINASE,h_256,0.834,METALLOPROTEINASE,h_256,0.0
NEUTROPHIL_COLLAGENASE,neutrophil_collagenase_inhibitor,0.742,NEUTROPHIL_COLLAGENASE,neutrophil_collagenase_inhibitor,1.0
NEUTROPHIL_COLLAGENASE,pep2,0.593,NEUTROPHIL_COLLAGENASE,pep2,0.0
NS3_4A_PROTEASE,eqw,0.578,NS3_4A_PROTEASE,eqw,0.0
NS3_PROTEASE,pep3,0.835,NS3_PROTEASE,pep3,0.0
PLASMEPSIN_2,aspartic_peptidase_inhibitor_6,0.92,PLASMEPSIN_2,aspartic_peptidase_inhibitor_6,1.0
PLASMEPSIN_2,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.576,PLASMEPSIN_2,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.0
PROTEINASE_K,3c_like_proteinase_inhibitor,0.864,PROTEINASE_K,3c_like_proteinase_inhibitor,0.0
RENIN,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.566,RENIN,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.0
RHOMBOID_PROTEASE_GIPG,eqw,0.914,RHOMBOID_PROTEASE_GIPG,eqw,0.0
RHOMBOID_PROTEASE_GIPG,peptide_ketoamide_inhibitor,0.913,RHOMBOID_PROTEASE_GIPG,peptide_ketoamide_inhibitor,1.0
SERINE_PROTEASE_NS3,3c_like_proteinase_inhibitor,0.792,SERINE_PROTEASE_NS3,3c_like_proteinase_inhibitor,0.0
SHEWANELLA_ONEIDENSIS_PEPTIDASE,pep2,0.562,SHEWANELLA_ONEIDENSIS_PEPTIDASE,pep2,0.0
