Protein 1,Protein 2,LIS,LIA,ipTM,pTM,AFM Confidence,pLDDT,MSA_depth_peptidase,MSA_depth_inhibitors,Inhibitor_length,Binary_Label
3C_LIKE_PROTEINASE,3c_like_proteinase_inhibitor,0.4928,2487.2,0.8892,0.9114000000000001,0.8936,95.816,2065.0,1.0,5.0,1.0
3C_LIKE_PROTEINASE,pep2,0.231,2353.4,0.5838,0.9088,0.6487999999999999,93.8018,2065.0,1.0,8.0,1.0
3C_LIKE_PROTEINASE,pep3,0.21000000000000002,2318.2,0.569,0.9067999999999999,0.6364,93.5106,2065.0,1.0,8.0,1.0
3C_LIKE_PROTEINASE,peptide_cglr,0.3666,1381.2,0.783,0.9114000000000001,0.8088,95.33959999999999,2065.0,2.0,4.0,0.0
3C_LIKE_PROTEINASE,peptide_ketoamide_inhibitor,0.266,1879.0,0.6442,0.9114000000000001,0.6978,94.4764,2065.0,1.0,6.0,0.0
72_KDA_TYPE_IV_COLLAGENASE,pepstatin_a,0.3846,1286.6,0.6910000000000001,0.9332,0.7394000000000001,95.6472,30094.0,1.0,6.0,0.0
ALKALINE_PROTEASE,alkaline_protease_tetrapeptide_inhibitor,0.28179999999999994,1862.6,0.7378,0.9395999999999999,0.778,94.3426,57089.0,1.0,4.0,1.0
ALPHA_THROMBIN,thrombin_nonapeptide_inhibitor,0.42699999999999994,3873.4,0.7998000000000001,0.9162000000000001,0.8230000000000001,89.75219999999999,147369.0,15.0,9.0,1.0
ALPHA_THROMBIN,tynorphin,0.37160000000000004,1759.0,0.7812,0.9154,0.808,89.9758,147369.0,3.0,5.0,0.0
ALPHA_THROMBIN_2,ps2,0.2524,2133.6,0.6056,0.913,0.6672,88.8194,147077.0,8.0,8.0,0.0
ANGIOTENSIN_CONVERTING_ENZYME,angiotensin_2,0.25579999999999997,4943.8,0.6974,0.9603999999999999,0.7495999999999999,96.36420000000001,23441.0,15.0,8.0,1.0
ANGIOTENSIN_CONVERTING_ENZYME,aspartic_peptidase_inhibitor_6,0.2314,4656.4,0.6806,0.96,0.7365999999999999,96.223,23441.0,2.0,8.0,0.0
BETA_ACROSIN_HEAVY_CHAIN,ps1,0.3012,1613.0,0.6516,0.8652,0.6944,88.5096,151387.0,1.0,6.0,0.0
BONT_A,jth_nb72_39_inhibitior,0.20779999999999998,3245.8,0.6115999999999999,0.9576,0.681,95.1544,2567.0,3.0,8.0,1.0
CAAX_PRENYL_PROTEASE_1_HOMOLOG,3c_like_proteinase_inhibitor,0.14279999999999998,1981.0,0.5694,0.873,0.6302,89.43260000000001,38519.0,1.0,5.0,0.0
CAAX_PRENYL_PROTEASE_1_HOMOLOG,prelamin_a_c,0.1018,1273.8,0.5418,0.8720000000000001,0.608,89.6712,38519.0,1.0,4.0,1.0
CANDIDAPEPSIN_3,pepstatin_a,0.10500000000000001,1737.8,0.5008,0.9384,0.5883999999999999,95.303,44252.0,1.0,6.0,1.0
CHYMOSIN,cp_113972,0.2998,1779.8,0.6724,0.9426,0.7262,95.1646,54725.0,1.0,5.0,1.0
CHYMOSIN,pep2,0.3282,3135.4,0.7054,0.9404,0.7524,94.67920000000001,54725.0,1.0,8.0,0.0
COAGULATION_FACTOR_XI,pepstatin_a,0.3634,1696.8,0.6968,0.9318000000000002,0.7436,94.4618,158033.0,1.0,6.0,0.0
DIPEPTIDYL_PEPTIDASE_3,tynorphin,0.3348,4629.0,0.8301999999999999,0.8814,0.8404,94.6614,18516.0,3.0,5.0,1.0
ELASTASE,3c_like_proteinase_inhibitor,0.3246,1341.4,0.6487999999999999,0.953,0.71,96.9632,148820.0,1.0,5.0,0.0
ENDOTHIAPEPSIN,3mer_peptide,0.32720000000000005,1046.0,0.7094,0.9488,0.7572,97.4276,41523.0,3.0,3.0,0.0
ENDOTHIAPEPSIN,eqw,0.27080000000000004,1005.4,0.643,0.9478,0.7038,97.2986,41523.0,1.0,3.0,0.0
ENDOTHIAPEPSIN,h77,0.2786,2895.2,0.6312,0.942,0.6932,95.7396,41523.0,8.0,8.0,1.0
