Protein 1,Protein 2,ipTM,Protein 1,Protein 2,Binary_Label
3C_LIKE_PROTEINASE,3c_like_proteinase_inhibitor,0.913,3C_LIKE_PROTEINASE,3c_like_proteinase_inhibitor,1.0
3C_LIKE_PROTEINASE,lactoferrin,0.831,3C_LIKE_PROTEINASE,lactoferrin,0.0
3C_LIKE_PROTEINASE,ns4a_peptide,0.548,3C_LIKE_PROTEINASE,ns4a_peptide,0.0
3C_LIKE_PROTEINASE,pep2,0.652,3C_LIKE_PROTEINASE,pep2,1.0
3C_LIKE_PROTEINASE,pep3,0.6,3C_LIKE_PROTEINASE,pep3,1.0
3C_LIKE_PROTEINASE,pep4,0.704,3C_LIKE_PROTEINASE,pep4,1.0
3C_LIKE_PROTEINASE,pep6,0.572,3C_LIKE_PROTEINASE,pep6,1.0
3C_LIKE_PROTEINASE,peptide_cglr,0.831,3C_LIKE_PROTEINASE,peptide_cglr,0.0
3C_LIKE_PROTEINASE,peptide_ketoamide_inhibitor,0.685,3C_LIKE_PROTEINASE,peptide_ketoamide_inhibitor,0.0
3C_LIKE_PROTEINASE,trypsin_inhibitor_1_kallikrein,0.494,3C_LIKE_PROTEINASE,trypsin_inhibitor_1_kallikrein,0.0
72_KDA_TYPE_IV_COLLAGENASE,amyloid_beta_a4_protein,0.918,72_KDA_TYPE_IV_COLLAGENASE,amyloid_beta_a4_protein,1.0
72_KDA_TYPE_IV_COLLAGENASE,pepstatin_a,0.763,72_KDA_TYPE_IV_COLLAGENASE,pepstatin_a,0.0
ALKALINE_PROTEASE,alkaline_protease_tetrapeptide_inhibitor,0.792,ALKALINE_PROTEASE,alkaline_protease_tetrapeptide_inhibitor,1.0
ALKALINE_PROTEASE,hirugen,0.64,ALKALINE_PROTEASE,hirugen,0.0
ALPHA_THROMBIN,hirugen,0.945,ALPHA_THROMBIN,hirugen,1.0
ALPHA_THROMBIN,thrombin_nonapeptide_inhibitor,0.922,ALPHA_THROMBIN,thrombin_nonapeptide_inhibitor,1.0
ALPHA_THROMBIN,tynorphin,0.868,ALPHA_THROMBIN,tynorphin,0.0
ALPHA_THROMBIN_2,ps2,0.662,ALPHA_THROMBIN_2,ps2,0.0
ANGIOTENSIN_CONVERTING_ENZYME,angiotensin_2,0.804,ANGIOTENSIN_CONVERTING_ENZYME,angiotensin_2,1.0
ANGIOTENSIN_CONVERTING_ENZYME,aspartic_peptidase_inhibitor_6,0.705,ANGIOTENSIN_CONVERTING_ENZYME,aspartic_peptidase_inhibitor_6,0.0
ANGIOTENSIN_CONVERTING_ENZYME_2,bradykinin_potentiating_peptide_b,0.675,ANGIOTENSIN_CONVERTING_ENZYME_2,bradykinin_potentiating_peptide_b,1.0
ANGIOTENSIN_CONVERTING_ENZYME_2,upain_1_w3a,0.655,ANGIOTENSIN_CONVERTING_ENZYME_2,upain_1_w3a,0.0
BACE,aspartic_peptidase_inhibitor_4,0.683,BACE,aspartic_peptidase_inhibitor_4,1.0
BACE,aspartic_peptidase_inhibitor_5,0.553,BACE,aspartic_peptidase_inhibitor_5,1.0
BACE,bicyclic_peptide_inhibitor,0.511,BACE,bicyclic_peptide_inhibitor,0.0
BACE,pvi,0.536,BACE,pvi,0.0
BETA_ACROSIN_HEAVY_CHAIN,beta_acrosin_light_chain,0.816,BETA_ACROSIN_HEAVY_CHAIN,beta_acrosin_light_chain,1.0
BETA_ACROSIN_HEAVY_CHAIN,ps1,0.684,BETA_ACROSIN_HEAVY_CHAIN,ps1,0.0
BONT_A,jth_nb72_39_inhibitior,0.643,BONT_A,jth_nb72_39_inhibitior,1.0
BONT_A,pep6,0.575,BONT_A,pep6,0.0
BOTULINUM_NEUROTOXIN_TYPE_A,pep6,0.608,BOTULINUM_NEUROTOXIN_TYPE_A,pep6,0.0
BOTULINUM_NEUROTOXIN_TYPE_A,synaptotagmin_2,0.932,BOTULINUM_NEUROTOXIN_TYPE_A,synaptotagmin_2,1.0
CAAX_PRENYL_PROTEASE_1_HOMOLOG,3c_like_proteinase_inhibitor,0.642,CAAX_PRENYL_PROTEASE_1_HOMOLOG,3c_like_proteinase_inhibitor,0.0
CAAX_PRENYL_PROTEASE_1_HOMOLOG,prelamin_a_c,0.627,CAAX_PRENYL_PROTEASE_1_HOMOLOG,prelamin_a_c,1.0
CALCIUM_DEPENDENT_PROTEASE,aspartic_peptidase_inhibitor_1,0.297,CALCIUM_DEPENDENT_PROTEASE,aspartic_peptidase_inhibitor_1,0.0
CALCIUM_DEPENDENT_PROTEASE,calpastatin,0.92,CALCIUM_DEPENDENT_PROTEASE,calpastatin,1.0
CANDIDAPEPSIN_3,pepstatin_a,0.532,CANDIDAPEPSIN_3,pepstatin_a,1.0
CANDIDAPEPSIN_3,synaptotagmin_2,0.446,CANDIDAPEPSIN_3,synaptotagmin_2,0.0
CHYMOSIN,cp_113972,0.812,CHYMOSIN,cp_113972,1.0
CHYMOSIN,pep2,0.811,CHYMOSIN,pep2,0.0
COAGULATION_FACTOR_XI,coagulation_factor_xi_inhibitor,0.484,COAGULATION_FACTOR_XI,coagulation_factor_xi_inhibitor,1.0
COAGULATION_FACTOR_XI,pepstatin_a,0.857,COAGULATION_FACTOR_XI,pepstatin_a,0.0
DIPEPTIDYL_PEPTIDASE_3,decapeptide_inhibitor,0.705,DIPEPTIDYL_PEPTIDASE_3,decapeptide_inhibitor,0.0
DIPEPTIDYL_PEPTIDASE_3,tynorphin,0.892,DIPEPTIDYL_PEPTIDASE_3,tynorphin,1.0
ELASTASE,3c_like_proteinase_inhibitor,0.757,ELASTASE,3c_like_proteinase_inhibitor,0.0
ELASTASE,inhibitor_fr901451,0.545,ELASTASE,inhibitor_fr901451,1.0
ENDOTHIAPEPSIN,3mer_peptide,0.784,ENDOTHIAPEPSIN,3mer_peptide,0.0
ENDOTHIAPEPSIN,eqw,0.75,ENDOTHIAPEPSIN,eqw,0.0
ENDOTHIAPEPSIN,h77,0.808,ENDOTHIAPEPSIN,h77,1.0
ENDOTHIAPEPSIN,h_256,0.596,ENDOTHIAPEPSIN,h_256,1.0
ENDOTHIAPEPSIN,pep2,0.587,ENDOTHIAPEPSIN,pep2,0.0
ENDOTHIAPEPSIN,ps1,0.868,ENDOTHIAPEPSIN,ps1,1.0
ENDOTHIAPEPSIN,ps2,0.72,ENDOTHIAPEPSIN,ps2,1.0
ENDOTHIAPEPSIN,tynorphin,0.756,ENDOTHIAPEPSIN,tynorphin,0.0
GAG_PRO_POL_POLYPROTEIN,gag_pro_pol_polyprotein_inhibitor,0.649,GAG_PRO_POL_POLYPROTEIN,gag_pro_pol_polyprotein_inhibitor,1.0
GAG_PRO_POL_POLYPROTEIN,putative_lipoprotein,0.544,GAG_PRO_POL_POLYPROTEIN,putative_lipoprotein,0.0
HUMAN_ADENOVIRUS_D8_PROTEASE,pvi,0.962,HUMAN_ADENOVIRUS_D8_PROTEASE,pvi,1.0
HUMAN_ADENOVIRUS_D8_PROTEASE,upain_1_w3a,0.419,HUMAN_ADENOVIRUS_D8_PROTEASE,upain_1_w3a,0.0
KALLIKREIN_4,calpastatin,0.744,KALLIKREIN_4,calpastatin,0.0
KALLIKREIN_4,trypsin_inhibitor_1_kallikrein,0.952,KALLIKREIN_4,trypsin_inhibitor_1_kallikrein,1.0
METALLOPROTEINASE,ekw,0.591,METALLOPROTEINASE,ekw,1.0
METALLOPROTEINASE,enw,0.634,METALLOPROTEINASE,enw,1.0
METALLOPROTEINASE,eqw,0.612,METALLOPROTEINASE,eqw,1.0
METALLOPROTEINASE,h_256,0.834,METALLOPROTEINASE,h_256,0.0
METALLOPROTEINASE,trypsin_inhibitor_1_kallikrein,0.875,METALLOPROTEINASE,trypsin_inhibitor_1_kallikrein,0.0
METALLOPROTEINASE,upain_1_w3a,0.54,METALLOPROTEINASE,upain_1_w3a,0.0
MIROLYSIN,mupain_1_17,0.638,MIROLYSIN,mupain_1_17,0.0
MIROLYSIN,putative_lipoprotein,0.504,MIROLYSIN,putative_lipoprotein,1.0
NEUTROPHIL_COLLAGENASE,neutrophil_collagenase_inhibitor,0.742,NEUTROPHIL_COLLAGENASE,neutrophil_collagenase_inhibitor,1.0
NEUTROPHIL_COLLAGENASE,pep2,0.593,NEUTROPHIL_COLLAGENASE,pep2,0.0
NS3_4A_PROTEASE,eqw,0.578,NS3_4A_PROTEASE,eqw,0.0
NS3_4A_PROTEASE,product_trif,0.787,NS3_4A_PROTEASE,product_trif,1.0
NS3_PROTEASE,ns4a_peptide,0.947,NS3_PROTEASE,ns4a_peptide,1.0
NS3_PROTEASE,pep3,0.835,NS3_PROTEASE,pep3,0.0
PLASMA_KALLIKREIN_LIGHT_CHAIN,plasma_kallikrein_light_chain_inhibitor,0.942,PLASMA_KALLIKREIN_LIGHT_CHAIN,plasma_kallikrein_light_chain_inhibitor,1.0
PLASMA_KALLIKREIN_LIGHT_CHAIN,synaptotagmin_2,0.652,PLASMA_KALLIKREIN_LIGHT_CHAIN,synaptotagmin_2,0.0
PLASMEPSIN_2,aspartic_peptidase_inhibitor_6,0.92,PLASMEPSIN_2,aspartic_peptidase_inhibitor_6,1.0
PLASMEPSIN_2,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.576,PLASMEPSIN_2,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.0
PROTEINASE_K,3c_like_proteinase_inhibitor,0.864,PROTEINASE_K,3c_like_proteinase_inhibitor,0.0
PROTEINASE_K,lactoferrin,0.736,PROTEINASE_K,lactoferrin,1.0
RENIN,aspartic_peptidase_inhibitor_1,0.569,RENIN,aspartic_peptidase_inhibitor_1,1.0
RENIN,aspartic_peptidase_inhibitor_2,0.608,RENIN,aspartic_peptidase_inhibitor_2,1.0
RENIN,aspartic_peptidase_inhibitor_3,0.57,RENIN,aspartic_peptidase_inhibitor_3,1.0
RENIN,bradykinin_potentiating_peptide_b,0.494,RENIN,bradykinin_potentiating_peptide_b,0.0
RENIN,hirugen,0.463,RENIN,hirugen,0.0
RENIN,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.566,RENIN,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,0.0
RHOMBOID_PROTEASE_GIPG,amyloid_beta_a4_protein,0.656,RHOMBOID_PROTEASE_GIPG,amyloid_beta_a4_protein,0.0
RHOMBOID_PROTEASE_GIPG,eqw,0.914,RHOMBOID_PROTEASE_GIPG,eqw,0.0
RHOMBOID_PROTEASE_GIPG,peptide_boronate_inhibitor,0.55,RHOMBOID_PROTEASE_GIPG,peptide_boronate_inhibitor,1.0
RHOMBOID_PROTEASE_GIPG,peptide_ketoamide_inhibitor,0.913,RHOMBOID_PROTEASE_GIPG,peptide_ketoamide_inhibitor,1.0
SERINE_PROTEASE_NS3,3c_like_proteinase_inhibitor,0.792,SERINE_PROTEASE_NS3,3c_like_proteinase_inhibitor,0.0
SERINE_PROTEASE_NS3,cp5_46_a_peptide,0.867,SERINE_PROTEASE_NS3,cp5_46_a_peptide,1.0
SHEWANELLA_ONEIDENSIS_PEPTIDASE,pep2,0.562,SHEWANELLA_ONEIDENSIS_PEPTIDASE,pep2,0.0
SHEWANELLA_ONEIDENSIS_PEPTIDASE,shewanella_odeidensis_peptidase_inhibitor,0.875,SHEWANELLA_ONEIDENSIS_PEPTIDASE,shewanella_odeidensis_peptidase_inhibitor,1.0
ST14_PROTEIN,pvi,0.723,ST14_PROTEIN,pvi,0.0
ST14_PROTEIN,trypsin_inhibitor_1,0.958,ST14_PROTEIN,trypsin_inhibitor_1,1.0
SUBTILISIN_BPN,h77,0.725,SUBTILISIN_BPN,h77,0.0
SUBTILISIN_BPN,subtilisin_bpn_tetrapeptide_inhibitor,0.932,SUBTILISIN_BPN,subtilisin_bpn_tetrapeptide_inhibitor,1.0
SUBTILISIN_LIKE_PROTEASE,bradykinin_potentiating_peptide_b,0.545,SUBTILISIN_LIKE_PROTEASE,bradykinin_potentiating_peptide_b,0.0
SUBTILISIN_LIKE_PROTEASE,substrate_analogue,0.678,SUBTILISIN_LIKE_PROTEASE,substrate_analogue,1.0
