,Protein 1,Protein 2,LIS,LIA,ipTM,pTM,AFM Confidence,pLDDT,PDB file path,PKL file path,Distances,SASA,Change in SASA,MSA_depth_peptidase,MSA_depth_inhibitors
a1_aspartic_peptidase_and_M36_70_1,a1_aspartic_peptidase,M36_70,0.163,3492,0.537,0.798,0.589,86.575,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,8.420118,7.134135388011852,79.97013101683503,48585,87
a1_aspartic_peptidase_and_M36_70_2,a1_aspartic_peptidase,M36_70,0.178,3107,0.519,0.796,0.575,86.58,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,9.2695,7.109568127868638,79.69474417518931,48585,87
a1_aspartic_peptidase_and_M36_70_3,a1_aspartic_peptidase,M36_70,0.209,3286,0.541,0.801,0.593,86.703,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,9.89687,3.5545480772708147,39.84472679375423,48585,87
a1_aspartic_peptidase_and_M36_70_4,a1_aspartic_peptidase,M36_70,0.182,3273,0.516,0.797,0.572,86.188,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,8.8985815,0.01592463457962629,0.17850728146649805,48585,87
a1_aspartic_peptidase_and_M36_70_5,a1_aspartic_peptidase,M36_70,0.237,4227,0.634,0.803,0.668,85.93,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,9.153054,2.300975910130981,25.792802489978488,48585,87
a1_aspartic_peptidase_and_BSA_1,a1_aspartic_peptidase,BSA,0.0,0,0.173,0.589,0.257,85.345,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,23.00281,6.705787788266057,75.16856617269428,48585,6377
a1_aspartic_peptidase_and_BSA_2,a1_aspartic_peptidase,BSA,0.0,0,0.134,0.551,0.217,85.013,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,22.164986,6.609869140446391,74.09336554698342,48585,6377
a1_aspartic_peptidase_and_BSA_3,a1_aspartic_peptidase,BSA,0.0,0,0.164,0.581,0.248,84.427,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,19.763481,6.986293974089016,78.31290185056628,48585,6377
a1_aspartic_peptidase_and_BSA_4,a1_aspartic_peptidase,BSA,0.0,0,0.145,0.541,0.224,82.797,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,22.190409,0.6618520596573209,7.419034409341116,48585,6377
a1_aspartic_peptidase_and_BSA_5,a1_aspartic_peptidase,BSA,0.0,0,0.168,0.566,0.248,84.062,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,22.365524,1.704635015421853,19.10811585496977,48585,6377
a1_aspartic_peptidase_and_Pepsin_1703_1,a1_aspartic_peptidase,Pepsin_1703,0.164,4064,0.496,0.798,0.557,86.248,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,8.316286,0.9427865618678768,10.568171302184473,48585,10
a1_aspartic_peptidase_and_Pepsin_1703_2,a1_aspartic_peptidase,Pepsin_1703,0.152,3078,0.438,0.795,0.51,86.287,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,11.023115,6.810925193491886,76.34710451173507,48585,10
a1_aspartic_peptidase_and_Pepsin_1703_3,a1_aspartic_peptidase,Pepsin_1703,0.186,4152,0.511,0.803,0.57,86.61,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,10.957427,5.345423413228256,59.91955400995692,48585,10
a1_aspartic_peptidase_and_Pepsin_1703_4,a1_aspartic_peptidase,Pepsin_1703,0.167,3221,0.451,0.796,0.52,85.761,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,11.000765,4.945413994995866,55.43564617190748,48585,10
a1_aspartic_peptidase_and_Pepsin_1703_5,a1_aspartic_peptidase,Pepsin_1703,0.184,4191,0.524,0.804,0.58,86.246,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,8.894333,1.558787924018766,17.4732420582756,48585,10
a1_aspartic_peptidase_and_S8B_1913_1,a1_aspartic_peptidase,S8B_1913,0.191,4321,0.539,0.802,0.592,86.817,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,7.017447,0.0,0.0,48585,9
