Protein 1,Protein 2,Max ipTM,Max LIS,Max LIA,Min Distance,Min SASA,Max Change in SASA Ratio
M36,BSA,0.188,0.0,0,13.745795,9.562719450781296,76.53236855367184
M36,M36_102,0.602,0.299,6388,5.2647257,0.0,0.0
M36,M36_109,0.535,0.173,4511,5.952142,0.0,0.0
M36,M36_129,0.577,0.202,4841,6.3784356,0.0,0.0
M36,M36_139,0.501,0.157,4013,4.9107804,0.0819171673021175,0.6555995782482399
M36,M36_15,0.528,0.166,4477,5.933224,0.0,0.0
M36,M36_211,0.749,0.319,7414,5.8059483,0.0,0.0
M36,M36_225,0.48,0.117,4619,4.868281,1.0985159713237564,8.791644428361396
M36,M36_232,0.539,0.178,4400,4.99259,0.0,0.0
M36,M36_240,0.485,0.156,4217,5.1139636,0.0,0.0
M36,M36_253,0.48,0.143,3703,6.094517,0.7410912937850207,5.931102791396724
M36,M36_267,0.42,0.068,3127,6.3723125,0.0,0.0
M36,M36_284,0.498,0.161,5904,4.9280267,0.0,0.0
M36,M36_33,0.483,0.112,4067,5.390752,0.0986726663070496,0.7896972093401331
M36,M36_354,0.389,0.034,94,5.4364676,5.238770323621154,41.92693336231416
M36,M36_363,0.604,0.183,4828,5.0942335,0.0,0.0
M36,M36_382,0.475,0.138,4899,5.3808475,0.0,0.0
M36,M36_408,0.707,0.3,6390,6.3852987,5.163956629579384,41.32818431035922
M36,M36_409,0.462,0.114,4627,6.131812,0.0,0.0
M36,M36_44,0.67,0.294,5684,6.045151,0.0,0.0
M36,M36_455,0.773,0.429,10974,6.766496,0.0,0.0
M36,M36_456,0.687,0.359,8477,5.7905197,0.0,0.0
M36,M36_468,0.53,0.164,7335,4.3891125,0.0,0.0
M36,M36_70,0.488,0.099,3818,6.1509347,0.0,0.0
M36,M36_8,0.424,0.017,435,8.74755,2.9682533875172896,23.755529311863064
M36,M36_86,0.515,0.13,4314,6.9365406,4.152117260817574,33.23023017861204
M36,M36_98,0.402,0.059,2990,8.3247385,0.0,0.0
M36,M36_small_1,0.558,0.149,2952,7.2235155,0.6108165839242498,4.888488066620647
