Protein 1,Protein 2,LIS,LIA,ipTM,pTM,AFM Confidence,pLDDT,Distances,SASA,Change in SASA,MSA_depth_inhibitors,MSA_depth_peptidase
pepsin,BSA,0.0,0.0,0.14679999999999999,0.6112,0.23959999999999998,89.3656,19.3909938,11.44400637653709,91.78702579834047,5302.0,41918.0
pepsin,M36_102,0.1934,4347.6,0.5156000000000001,0.9298,0.5984,92.0758,8.306334060000001,4.856617384115477,38.952657877089166,10.0,41918.0
pepsin,M36_109,0.2116,3600.8,0.5258,0.9352,0.6077999999999999,93.02059999999999,7.88569826,3.4354428423328245,27.55408118650003,6.0,41918.0
pepsin,M36_129,0.2072,3760.4,0.5366,0.9356,0.6164,93.2144,8.88497788,6.6942710408666555,53.691618871243634,15.0,41918.0
pepsin,M36_139,0.2052,3389.0,0.5028,0.9348000000000001,0.5892,92.8442,8.0638537,7.363604567716034,59.06003021908914,8.0,41918.0
pepsin,M36_15,0.1686,3430.0,0.4822,0.9266,0.571,92.072,9.911604800000001,6.933475467403424,55.61016576358215,112.0,41918.0
pepsin,M36_211,0.23759999999999998,3631.2,0.5476,0.9356,0.6254,93.1872,6.7704696,0.8278445995048177,6.639754567731936,5.0,41918.0
pepsin,M36_225,0.1764,3481.4,0.47859999999999997,0.9316000000000001,0.569,92.4126,8.69122046,5.996205035118772,48.09275774076652,10.0,41918.0
pepsin,M36_232,0.19039999999999999,3366.4,0.49660000000000004,0.9332,0.5841999999999999,92.8096,8.12037572,3.210224556883877,25.74771059419215,7.0,41918.0
pepsin,M36_240,0.1938,3241.2,0.4694,0.9312000000000001,0.5616,92.6656,7.187553460000001,0.7650420572648735,6.136044732634532,8.0,41918.0
pepsin,M36_253,0.1972,3203.4,0.4968,0.9339999999999999,0.5841999999999999,93.103,8.60307988,3.1272844499283012,25.082486765546207,4.0,41918.0
pepsin,M36_267,0.182,4132.2,0.5174000000000001,0.9308,0.6,92.4146,10.7188579,2.3129162428514034,18.550820042119053,12.0,41918.0
pepsin,M36_284,0.1746,3404.8,0.4368,0.9228,0.5342,91.28020000000001,8.85006614,10.840842690678716,86.9493318148758,10.0,41918.0
pepsin,M36_33,0.209,3229.0,0.5004,0.9346,0.5871999999999999,92.9522,7.72306556,3.1015560725020688,24.876131476596637,6.0,41918.0
