Protein 1,Protein 2,LIS,LIA,ipTM,pTM,AFM Confidence,pLDDT,MSA_depth_peptidase,MSA_depth_inhibitors,Inhibitor_length,Binary_Label,ipTM threshold,Agree?,FP?,FN?
3C_LIKE_PROTEINASE,lactoferrin,0.299,3111.4,0.626,0.9058,0.682,93.796,2065,1,10,0,0,Yes,No,No
3C_LIKE_PROTEINASE,ns4a_peptide,0.1908,2748.6,0.4614,0.8962,0.5484,91.9128,2065,10,14,0,0,Yes,No,No
3C_LIKE_PROTEINASE,pep4,0.2384,2923.2,0.5846,0.907,0.6488,93.4736,2065,5,10,1,0,No,No,Yes
3C_LIKE_PROTEINASE,pep6,0.2004,2697.4,0.5484,0.907,0.6202,93.1134,2065,5,10,1,0,No,No,Yes
3C_LIKE_PROTEINASE,trypsin_inhibitor_1_kallikrein,0.1672,2932.4,0.4736,0.882,0.5554,91.593,2065,59,14,0,0,Yes,No,No
72_KDA_TYPE_IV_COLLAGENASE,amyloid_beta_a4_protein,0.4614,2436.6,0.6892,0.9294,0.7372,94.4076,30094,6,10,1,1,Yes,No,No
ALKALINE_PROTEASE,hirugen,0.1748,4005,0.5932,0.9316,0.661,92.9982,57089,25,11,0,0,Yes,No,No
ALPHA_THROMBIN,hirugen,0.6378,5638,0.9372,0.92,0.9338,90.7232,147369,25,11,1,1,Yes,No,No
ANGIOTENSIN_CONVERTING_ENZYME_2,bradykinin_potentiating_peptide_b,0.2004,6254.6,0.631,0.8992,0.6846,92.8294,23084,2,11,1,0,No,No,Yes
ANGIOTENSIN_CONVERTING_ENZYME_2,upain_1_w3a,0.1884,7077.6,0.6394,0.8972,0.691,92.4516,23084,21,12,0,0,Yes,No,No
BACE,aspartic_peptidase_inhibitor_4,0.2414,4403.6,0.6476,0.8326,0.6846,87.7384,35154,7,12,1,0,No,No,Yes
BACE,aspartic_peptidase_inhibitor_5,0.147,2867.8,0.5096,0.8284,0.5734,87.2112,35154,2,12,1,0,No,No,Yes
BACE,bicyclic_peptide_inhibitor,0.1014,3900,0.4864,0.8236,0.554,86.116,35154,18,17,0,0,Yes,No,No
BACE,pvi,0.0716,1343.2,0.4658,0.826,0.5378,87.0484,35154,10,11,0,0,Yes,No,No
BETA_ACROSIN_HEAVY_CHAIN,beta_acrosin_light_chain,0.5892,7100.4,0.805,0.86,0.8162,89.0584,151387,104,22,1,1,Yes,No,No
BONT_A,pep6,0.0962,2553.4,0.5264,0.9526,0.6116,94.6512,2567,5,10,0,0,Yes,No,No
BOTULINUM_NEUROTOXIN_TYPE_A,pep6,0.0086,115,0.5174,0.7074,0.5556,88.1168,4820,5,10,0,0,Yes,No,No
BOTULINUM_NEUROTOXIN_TYPE_A,synaptotagmin_2,0.2978,9789.6,0.8426,0.7052,0.8154,88.5864,4820,52,21,1,1,Yes,No,No
CALCIUM_DEPENDENT_PROTEASE,aspartic_peptidase_inhibitor_1,0.0158,122.6,0.262,0.8494,0.3792,85.9148,30055,11,11,0,0,Yes,No,No
CALCIUM_DEPENDENT_PROTEASE,calpastatin,0.5918,3277.6,0.8318,0.9048,0.8462,94.054,30055,8,11,1,1,Yes,No,No
CANDIDAPEPSIN_3,synaptotagmin_2,0.1288,3436,0.4034,0.9128,0.5052,90.9972,44252,52,21,0,0,Yes,No,No
COAGULATION_FACTOR_XI,coagulation_factor_xi_inhibitor,0.1214,2508.2,0.4214,0.9,0.5172,89.3542,158033,12,18,1,0,No,No,Yes
DIPEPTIDYL_PEPTIDASE_3,decapeptide_inhibitor,0.1942,6892.2,0.6786,0.8648,0.7158,93.432,18516,20,10,0,1,No,Yes,No
ELASTASE,inhibitor_fr901451,0.239,2667.6,0.528,0.938,0.6102,94.2334,148820,133,11,1,0,No,No,Yes
GAG_PRO_POL_POLYPROTEIN,putative_lipoprotein,0.1966,865.4,0.309,0.7366,0.3942,76.3792,3259,4,14,0,0,Yes,No,No
HUMAN_ADENOVIRUS_D8_PROTEASE,pvi,0.7724,4431,0.9612,0.9486,0.9588,96.9748,2255,10,11,1,1,Yes,No,No
HUMAN_ADENOVIRUS_D8_PROTEASE,upain_1_w3a,0.0604,1023.2,0.3618,0.9038,0.4706,89.7414,2255,21,12,0,0,Yes,No,No
KALLIKREIN_4,calpastatin,0.2794,2727.6,0.5634,0.9342,0.6374,94.2306,144330,8,11,0,0,Yes,No,No
