Protein 1,Protein 2,Max ipTM,Max LIS,Max LIA,Min Distance,Min SASA,Max Change in SASA Ratio
thermolysin,BSA,0.178,0.0,0,15.144102,11.720850130306896,85.43516386257667
thermolysin,M36_102,0.562,0.337,4680,6.880503,0.0,0.0
thermolysin,M36_109,0.789,0.504,6312,6.1572895,0.0,0.0
thermolysin,M36_129,0.789,0.527,6189,6.0451803,0.0,0.0
thermolysin,M36_139,0.527,0.214,3623,7.164748,0.0,0.0
thermolysin,M36_15,0.534,0.233,4013,7.454196,0.0,0.0
thermolysin,M36_211,0.622,0.313,4281,4.4920044,0.0,0.0
thermolysin,M36_225,0.521,0.202,4072,7.3379755,0.0322640626537074,0.2351779477637398
thermolysin,M36_232,0.573,0.228,3767,6.476284,0.0,0.0
thermolysin,M36_240,0.562,0.289,3692,5.8191743,0.0,0.0
thermolysin,M36_253,0.544,0.232,3676,7.112374,3.1418981769654577,22.90180171270105
thermolysin,M36_267,0.537,0.229,4098,7.4887614,1.1200381280329883,8.16413826104664
thermolysin,M36_284,0.526,0.215,5084,5.289481,0.0,0.0
thermolysin,M36_33,0.714,0.442,5198,5.8795896,0.0,0.0
thermolysin,M36_354,0.567,0.228,5993,5.5320425,0.0,0.0
thermolysin,M36_363,0.558,0.224,3835,6.481268,0.0,0.0
thermolysin,M36_382,0.517,0.226,4089,5.592845,0.0,0.0
thermolysin,M36_408,0.553,0.228,3922,5.145939,0.0,0.0
thermolysin,M36_409,0.497,0.187,4843,6.90332,0.0,0.0
thermolysin,M36_44,0.65,0.325,4617,6.0695143,0.0,0.0
thermolysin,M36_455,0.519,0.223,4821,5.1783867,0.0,0.0
thermolysin,M36_456,0.527,0.253,4750,5.3854837,0.0,0.0
thermolysin,M36_468,0.527,0.224,5644,4.2479105,0.0,0.0
thermolysin,M36_70,0.517,0.203,3718,6.5412307,1.193154464748707,8.697095012382148
thermolysin,M36_8,0.497,0.204,4873,7.191143,0.0748067964364573,0.5452787844336854
thermolysin,M36_86,0.736,0.459,5867,6.5518394,0.0,0.0
thermolysin,M36_98,0.448,0.192,3804,7.264354,0.0,0.0
thermolysin,M36_small_1,0.625,0.268,2285,6.9401627,1.904139840996583,13.879581900988288
thermolysin,M36_small_2,0.717,0.36,2139,6.4324293,0.0,0.0
thermolysin,Original_8,0.468,0.198,6429,5.4374943,0.0,0.0
thermolysin,Original_9,0.408,0.215,3948,5.9362392,0.0,0.0
thermolysin,Pepsin_1511,0.507,0.211,4119,7.4844737,0.0,0.0
thermolysin,Pepsin_1546,0.713,0.388,4428,6.1512856,0.0,0.0
thermolysin,Pepsin_1630,0.466,0.196,4503,6.4990497,0.383584483210232,2.79600906195956
thermolysin,Pepsin_1694,0.663,0.412,6527,6.0472445,0.0,0.0
thermolysin,Pepsin_1703,0.47,0.188,4550,6.500285,0.5868721062701681,4.277805279321875
thermolysin,Pepsin_1710,0.468,0.214,4128,6.1476154,0.0,0.0
thermolysin,Pepsin_1814,0.533,0.231,3953,5.525338,0.0,0.0
thermolysin,Pepsin_1869,0.557,0.231,3913,6.3609414,0.0117627627974409,0.0857406720419925
thermolysin,Pepsin_1890,0.585,0.269,4499,6.876278,0.0,0.0
thermolysin,Pepsin_1979,0.54,0.234,4241,5.6159005,0.0,0.0
thermolysin,Pepsin_2001,0.496,0.204,4129,6.5706644,0.0,0.0
thermolysin,Pepsin_2081,0.479,0.165,4623,7.806501,0.0,0.0
thermolysin,Pepsin_2208,0.524,0.217,4239,7.561126,0.0,0.0
