ID,AA_Length
calpastatin,713
chagasin,110
equistatin,199
kininogen_inhibitor_unit_2,626
falstatin,333
amoebiasin_2,107
calpastatin_2,713
smpi,102
impi,151
bofa,87
timp_1,184
serralysin_inh,100
erwinia_chrysanthemi_inhibitor,101
latexin,222
tci1,75
aspin,149
saccharopepsin_inh,68
sqapi,95
potato_cathepsin_d_inhibitor,188
cmpi-ii,50
trypsin_inhibitor,34
ovomucoid_inhibitor_unit_3,185
pancreatic_trypsin_inhibitor,58
serine_protease_inhibitor_1,150
kunitz_trypsin_inhibitor_4,187
taicotoxin,62
protease_inhibitor_hpi,69
kexstatin-1,110
ecotin,142
rhodniin,103
afuei,68
trypsin_inhibitor_2,30
