Protein 1,Protein 2,LIS,Binary_Label
ALKALINE_PROTEASE_1,afuei,0.724,1.0
ALKALINE_PROTEASE_1,latexin,0.572,0.0
CALPAIN,calpastatin,0.422,1.0
CALPAIN,kininogen_inhibitor_unit_2,0.322,1.0
CALPAIN,rhodniin,0.0,0.0
CALPAIN,tci1,0.0,0.0
CALPAIN_2,calpastatin_2,0.363,1.0
CALPAIN_2,pancreatic_trypsin_inhibitor,0.008,0.0
CARBOXYPEPTIDASE_A1,tci1,0.745,1.0
CARBOXYPEPTIDASE_A1,trypsin_inhibitor,0.173,0.0
CARBOXYPEPTIDASE_A4,latexin,0.719,1.0
CARBOXYPEPTIDASE_A4,pancreatic_trypsin_inhibitor,0.243,0.0
CARBOXYPEPTIDASE_B,serine_protease_inhibitor_1,0.141,0.0
CARBOXYPEPTIDASE_B,tci1,0.748,1.0
CATHEPSIN_D,latexin,0.068,0.0
CATHEPSIN_D,potato_cathepsin_d_inhibitor,0.193,1.0
CATHEPSIN_H,cystatin_A,0.705,1.0
CATHEPSIN_H,kunitz_trypsin_inhibitor_4,0.025,0.0
CATHEPSIN_L,falstatin,0.669,1.0
CATHEPSIN_L,tci1,0.29,0.0
CHYMOTRYPSIN_A,cystatin_B,0.103,0.0
CHYMOTRYPSIN_A,serine_protease_inhibitor_1,0.577,1.0
CP_1,amoebiasin_2,0.694,1.0
CP_1,potato_cathepsin_d_inhibitor,0.144,0.0
CP_2,amoebiasin_2,0.691,1.0
CP_2,pancreatic_trypsin_inhibitor,0.711,0.0
ELASTASE,cmpi-ii,0.69,1.0
ELASTASE,falstatin,0.272,0.0
ELASTASE,potato_cathepsin_d_inhibitor,0.189,0.0
ELASTASE,serine_protease_inhibitor_1,0.132,1.0
KALICREIN,amoebiasin_2,0.11,0.0
KALICREIN,erwinia_chrysanthemi_inhibitor,0.031,0.0
KALICREIN,pancreatic_trypsin_inhibitor,0.701,1.0
KALLIKREIN,taicotoxin,0.673,1.0
KEXIN,kexstatin-1,0.578,1.0
KEXIN,kininogen_inhibitor_unit_2,0.151,0.0
MMP_1,amoebiasin_2,0.292,0.0
MMP_1,timp_1,0.521,1.0
MMP_3,cystatin_A,0.158,0.0
MMP_3,timp_1,0.601,1.0
PAPAIN,aspin,0.126,0.0
PAPAIN,chagasin,0.715,1.0
PAPAIN,cmpi-ii,0.161,0.0
PAPAIN,cystatin_A,0.714,1.0
PAPAIN,cystatin_B,0.742,1.0
PAPAIN,equistatin,0.65,1.0
PAPAIN,falstatin,0.656,1.0
PAPAIN,serralysin_inh,0.16,0.0
PAPAIN,taicotoxin,0.189,0.0
PAPAIN,tci1,0.221,0.0
PEPSIN,amoebiasin_2,0.037,0.0
PEPSIN,aspin,0.545,1.0
PEPSIN,ecotin,0.03,0.0
PEPSIN,sqapi,0.49,1.0
PROTEINASE_A,cmpi-ii,0.339,0.0
PROTEINASE_A,proteinase_inhibitor_ia3_peptide,0.737,1.0
PROTHROMBIN,prothrombin_inhibitor,0.739,1.0
PROTHROMBIN,smpi,0.123,0.0
SACCHAROPEPSIN,cystatin_A,0.342,0.0
SACCHAROPEPSIN,saccharopepsin_inh,0.697,1.0
SERRALYSIN,aspin,0.0,0.0
SERRALYSIN,erwinia_chrysanthemi_inhibitor,0.658,1.0
SERRALYSIN,ovomucoid_inhibitor_unit_3,0.0,0.0
SERRALYSIN,serralysin_inh,0.51,1.0
SPOIVFB,amoebiasin_2,0.0,0.0
SPOIVFB,bofa,0.061,1.0
SUBTILISIN_A,calpastatin,0.143,0.0
SUBTILISIN_A,chagasin,0.143,0.0
SUBTILISIN_A,cmpi-ii,0.74,1.0
SUBTILISIN_A,protease_inhibitor_hpi,0.725,1.0
THERMOLYSIN,impi,0.639,1.0
THERMOLYSIN,protease_inhibitor_hpi,0.135,0.0
THERMOLYSIN,smpi,0.659,1.0
THERMOLYSIN,sqapi,0.215,0.0
THROMBIN,rhodniin,0.683,1.0
THROMBIN,serralysin_inh,0.0,0.0
TRYPSIN,amoebiasin_2,0.16,0.0
TRYPSIN,calpastatin,0.189,0.0
TRYPSIN,cystatin_A,0.588,0.0
TRYPSIN,kunitz_trypsin_inhibitor_4,0.649,1.0
TRYPSIN,latexin,0.13,0.0
TRYPSIN,ovomucoid_inhibitor_unit_3,0.623,1.0
TRYPSIN,pancreatic_trypsin_inhibitor,0.762,1.0
TRYPSIN,serine_protease_inhibitor_1,0.616,1.0
TRYPSIN,serralysin_inh,0.329,0.0
TRYPSIN,smpi,0.377,0.0
TRYPSIN,sqapi,0.129,0.0
TRYPSIN,taicotoxin,0.727,1.0
TRYPSIN,trypsin_inhibitor,0.742,1.0
TRYPSIN,trypsin_inhibitor_2,0.784,1.0
TRYPSIN_II_ANIONIC,ecotin,0.623,1.0
TRYPSIN_II_ANIONIC,potato_cathepsin_d_inhibitor,0.597,0.0
