Protein 1,Protein 2,Max ipTM,Max LIS,Max LIA,Min Distance,Min SASA,Max Change in SASA Ratio
papain,BSA,0.246,0.0,0,10.824346,14.33459657832626,94.31896682672892
papain,M36_102,0.578,0.393,2417,4.597759,0.0,0.0
papain,M36_109,0.79,0.478,4204,4.942885,0.0,0.0
papain,M36_129,0.774,0.433,4026,3.5676248,0.0,0.0
papain,M36_139,0.507,0.276,2458,5.3744216,0.0,0.0
papain,M36_15,0.466,0.231,2584,4.623497,0.0,0.0
papain,M36_211,0.566,0.306,2734,4.3403225,0.0,0.0
papain,M36_225,0.816,0.599,4612,5.2511277,0.0,0.0
papain,M36_232,0.685,0.45,3699,5.0031176,0.0,0.0
papain,M36_240,0.736,0.517,4181,5.925227,0.0,0.0
papain,M36_253,0.865,0.657,4563,5.6492367,0.0,0.0
papain,M36_267,0.582,0.379,2461,4.1020966,0.0,0.0
papain,M36_284,0.43,0.269,2784,3.6186204,0.0,0.0
papain,M36_33,0.559,0.292,2805,2.3809638,0.0,0.0
papain,M36_354,0.743,0.463,4536,4.6500196,0.0,0.0
papain,M36_363,0.755,0.427,3975,5.09392,0.0,0.0
papain,M36_382,0.457,0.257,2662,3.3692825,0.0,0.0
papain,M36_408,0.552,0.312,2662,4.616292,0.0,0.0
papain,M36_409,0.625,0.372,4249,4.531782,0.0,0.0
papain,M36_44,0.581,0.297,2862,4.4793315,0.0,0.0
papain,M36_455,0.794,0.505,4345,4.3513,0.0,0.0
papain,M36_456,0.763,0.53,5565,4.318333,0.0,0.0
papain,M36_468,0.472,0.255,3624,3.936103,0.0,0.0
papain,M36_70,0.49,0.236,2515,3.882566,0.0,0.0
papain,M36_8,0.389,0.214,2838,4.14945,0.0,0.0
papain,M36_86,0.596,0.303,2927,5.2195168,0.0,0.0
papain,M36_98,0.404,0.171,2608,5.8120775,0.0,0.0
papain,M36_small_1,0.766,0.479,2130,5.61264,0.0,0.0
papain,M36_small_2,0.756,0.427,1634,4.5542836,0.0,0.0
papain,Original_8,0.426,0.208,3739,2.8026376,0.0,0.0
papain,Original_9,0.662,0.411,4664,5.249142,0.0,0.0
papain,Pepsin_1511,0.392,0.209,2431,2.5423584,0.0,0.0
papain,Pepsin_1546,0.554,0.287,2510,3.8890133,0.0,0.0
papain,Pepsin_1630,0.394,0.197,3108,5.0559916,0.0,0.0
papain,Pepsin_1694,0.805,0.484,6544,5.49398,0.0,0.0
papain,Pepsin_1703,0.454,0.284,2804,4.8652635,0.0,0.0
papain,Pepsin_1710,0.858,0.597,5623,4.8932548,0.0,0.0
papain,Pepsin_1814,0.482,0.268,2460,3.5044951,0.0,0.0
papain,Pepsin_1869,0.643,0.373,3297,4.2922935,0.0,0.0
papain,Pepsin_1890,0.458,0.279,2631,4.1927543,0.0,0.0
papain,Pepsin_1979,0.679,0.397,4006,5.2860284,0.0,0.0
