Protein 1,Protein 2,LIS,LIA,ipTM,pTM,AFM Confidence,pLDDT,Protein 1,Protein 2,Binary_Label
3C_LIKE_PROTEINASE,3c_like_proteinase_inhibitor,0.042109381,136.182598,0.023700211,0.008648699,0.020354361,0.400866561,3C_LIKE_PROTEINASE,3c_like_proteinase_inhibitor,1
3C_LIKE_PROTEINASE,lactoferrin,0.093509358,595.0078151,0.118817086,0.015006665,0.097177672,1.266378695,3C_LIKE_PROTEINASE,lactoferrin,0
3C_LIKE_PROTEINASE,ns4a_peptide,0.034600578,485.6179568,0.049571161,0.018766992,0.041319487,0.879056142,3C_LIKE_PROTEINASE,ns4a_peptide,0
3C_LIKE_PROTEINASE,pep2,0.044198416,122.1138813,0.043008139,0.012517987,0.034499275,0.468202093,3C_LIKE_PROTEINASE,pep2,1
3C_LIKE_PROTEINASE,pep3,0.012980755,39.95872871,0.017549929,0.01044988,0.014397917,0.437041531,3C_LIKE_PROTEINASE,pep3,1
3C_LIKE_PROTEINASE,pep4,0.053533167,483.6814034,0.071262192,0.015795569,0.058836213,1.041588834,3C_LIKE_PROTEINASE,pep4,1
3C_LIKE_PROTEINASE,pep6,0.009710819,194.7839829,0.015946787,0.010793517,0.014060583,0.435358818,3C_LIKE_PROTEINASE,pep6,1
3C_LIKE_PROTEINASE,peptide_cglr,0.08036977,111.9830344,0.077781746,0.010261579,0.06350748,0.675400844,3C_LIKE_PROTEINASE,peptide_cglr,0
3C_LIKE_PROTEINASE,peptide_ketoamide_inhibitor,0.031960914,58.85575588,0.033655609,0.007503333,0.027408028,0.433350666,3C_LIKE_PROTEINASE,peptide_ketoamide_inhibitor,0
3C_LIKE_PROTEINASE,trypsin_inhibitor_1_kallikrein,0.037472657,306.3254805,0.022333831,0.022079402,0.018742999,0.892073988,3C_LIKE_PROTEINASE,trypsin_inhibitor_1_kallikrein,0
72_KDA_TYPE_IV_COLLAGENASE,amyloid_beta_a4_protein,0.208878673,762.8730563,0.224202364,0.014570518,0.18214335,2.796230552,72_KDA_TYPE_IV_COLLAGENASE,amyloid_beta_a4_protein,1
