,Protein 1,Protein 2,LIS,LIA,ipTM,pTM,AFM Confidence,pLDDT,PDB file path,PKL file path,Distances,SASA,Change in SASA,MSA_depth_peptidase,MSA_depth_inhibitors
thermolysin_and_M36_109_1,thermolysin,M36_109,0.246,3447,0.546,0.948,0.627,95.119,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,6.194597,0.045821766630520254,0.33400223507923504,27893,6
thermolysin_and_M36_109_2,thermolysin,M36_109,0.206,3841,0.522,0.946,0.606,94.914,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,6.1572895,0.0,0.0,27893,6
thermolysin_and_M36_109_3,thermolysin,M36_109,0.209,3636,0.499,0.945,0.588,94.726,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,7.290958,0.0,0.0,27893,6
thermolysin_and_M36_109_4,thermolysin,M36_109,0.504,6312,0.789,0.96,0.823,97.49,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,7.0836325,0.0,0.0,27893,6
thermolysin_and_M36_109_5,thermolysin,M36_109,0.281,3999,0.595,0.95,0.666,95.529,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,6.7239375,0.0,0.0,27893,6
thermolysin_and_Trypsin_735_1,thermolysin,Trypsin_735,0.233,4106,0.515,0.941,0.6,94.253,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,6.3129787,0.6154558007973935,4.486156431207767,27893,6
thermolysin_and_Trypsin_735_2,thermolysin,Trypsin_735,0.207,4417,0.507,0.939,0.593,94.065,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,5.7705355,0.5206838506520959,3.7953484266498716,27893,6
thermolysin_and_Trypsin_735_3,thermolysin,Trypsin_735,0.186,4073,0.459,0.938,0.555,94.115,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,7.8995004,2.6634768085473524,19.4145113240568,27893,6
thermolysin_and_Trypsin_735_4,thermolysin,Trypsin_735,0.212,4139,0.478,0.94,0.571,93.764,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,6.139877,0.0,0.0,27893,6
thermolysin_and_Trypsin_735_5,thermolysin,Trypsin_735,0.204,4091,0.464,0.939,0.559,93.672,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,5.221167,0.0,0.0,27893,6
thermolysin_and_M36_33_1,thermolysin,M36_33,0.217,3472,0.554,0.949,0.633,95.314,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,6.2054415,0.0,0.0,27893,6
thermolysin_and_M36_33_2,thermolysin,M36_33,0.175,3334,0.472,0.944,0.566,94.764,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,7.3434787,0.16388374861523478,1.1945750318188992,27893,6
thermolysin_and_M36_33_3,thermolysin,M36_33,0.223,3612,0.521,0.946,0.606,94.924,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,5.8795896,0.0,0.0,27893,6
thermolysin_and_M36_33_4,thermolysin,M36_33,0.209,3501,0.492,0.947,0.583,94.701,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,6.213061,0.0,0.0,27893,6
thermolysin_and_M36_33_5,thermolysin,M36_33,0.442,5198,0.714,0.956,0.762,96.964,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,6.947566,0.0,0.0,27893,6
thermolysin_and_M36_44_1,thermolysin,M36_44,0.235,3749,0.543,0.948,0.624,95.381,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,6.2630925,0.0,0.0,27893,8
thermolysin_and_M36_44_2,thermolysin,M36_44,0.252,3878,0.569,0.947,0.645,95.312,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,6.0695143,0.0,0.0,27893,8
thermolysin_and_M36_44_3,thermolysin,M36_44,0.308,4348,0.628,0.952,0.693,96.097,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,6.7339616,0.0,0.0,27893,8
thermolysin_and_M36_44_4,thermolysin,M36_44,0.308,4159,0.608,0.952,0.677,95.889,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,6.816244,0.0,0.0,27893,8
thermolysin_and_M36_44_5,thermolysin,M36_44,0.325,4617,0.65,0.953,0.71,96.031,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,6.798203,0.0,0.0,27893,8
thermolysin_and_aspartic_peptide_inhibitor_6_1,thermolysin,aspartic_peptide_inhibitor_6,0.274,2593,0.635,0.956,0.699,96.567,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,6.849811,0.0,0.0,27893,2
thermolysin_and_aspartic_peptide_inhibitor_6_2,thermolysin,aspartic_peptide_inhibitor_6,0.304,2692,0.65,0.955,0.711,96.824,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,6.9133825,0.0,0.0,27893,2
thermolysin_and_aspartic_peptide_inhibitor_6_3,thermolysin,aspartic_peptide_inhibitor_6,0.343,2849,0.72,0.958,0.768,97.272,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,6.985398,0.0,0.0,27893,2
thermolysin_and_aspartic_peptide_inhibitor_6_4,thermolysin,aspartic_peptide_inhibitor_6,0.489,3976,0.85,0.963,0.873,98.138,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,7.061042,0.07256291530912345,0.5289227735922696,27893,2
thermolysin_and_aspartic_peptide_inhibitor_6_5,thermolysin,aspartic_peptide_inhibitor_6,0.401,3103,0.769,0.961,0.808,97.557,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,7.0640054,0.0,0.0,27893,2
thermolysin_and_M36_232_1,thermolysin,M36_232,0.228,3767,0.573,0.949,0.648,95.163,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,7.0103364,0.0,0.0,27893,7
