Protein 1,Protein 2,Max ipTM,Max LIS,Max LIA,Min Distance,Min SASA,Max Change in SASA Ratio
pepsin,BSA,0.156,0.0,0,15.624645,11.059842566811144,88.70582745276825
pepsin,M36_102,0.664,0.301,5877,6.9496183,0.0,0.0
pepsin,M36_109,0.658,0.297,4814,7.201337,0.0,0.0
pepsin,M36_129,0.63,0.271,4440,7.293473,0.0,0.0
pepsin,M36_139,0.542,0.22,3651,7.2122355,2.940053122222593,23.580791804801034
pepsin,M36_15,0.543,0.184,4193,7.344383,0.0,0.0
pepsin,M36_211,0.571,0.258,3860,4.936881,0.0,0.0
pepsin,M36_225,0.499,0.184,3907,7.9217243,0.0,0.0
pepsin,M36_232,0.519,0.205,3525,7.1603656,0.0,0.0
pepsin,M36_240,0.489,0.215,3486,6.289805,0.0,0.0
pepsin,M36_253,0.544,0.216,3615,7.6561494,0.0,0.0
pepsin,M36_267,0.54,0.194,4458,9.322407,0.0,0.0
pepsin,M36_284,0.464,0.186,4068,7.7346377,4.411112509369935,35.379471522055944
pepsin,M36_33,0.53,0.231,3438,6.9741125,0.0,0.0
pepsin,M36_354,0.486,0.193,4626,9.895604,0.1369576149021504,1.0984730101231184
pepsin,M36_363,0.557,0.203,3923,8.161896,0.0,0.0
pepsin,M36_382,0.49,0.189,3901,8.106705,0.2455352189575831,1.9693232191015655
pepsin,M36_408,0.539,0.209,4114,7.139583,0.0,0.0
pepsin,M36_409,0.532,0.192,4665,7.857204,2.457124692219262,19.70744860618593
pepsin,M36_44,0.533,0.217,3639,7.1557074,0.0,0.0
pepsin,M36_455,0.511,0.19,4869,5.8288856,0.0,0.0
pepsin,M36_456,0.478,0.191,4428,7.279932,0.0,0.0
pepsin,M36_468,0.484,0.194,4924,5.903604,0.0,0.0
pepsin,M36_70,0.509,0.188,3466,8.570683,0.0,0.0
pepsin,M36_8,0.503,0.182,3962,8.867121,0.0,0.0
pepsin,M36_86,0.736,0.349,5400,7.2790313,0.0,0.0
pepsin,M36_98,0.496,0.195,4508,9.256583,0.0,0.0
pepsin,M36_small_1,0.668,0.296,2492,7.161714,0.0,0.0
pepsin,M36_small_2,0.666,0.297,2040,8.491015,0.1258328389194097,1.009246382093437
pepsin,Original_8,0.498,0.18,6607,5.7616425,0.0,0.0
pepsin,Original_9,0.534,0.232,5904,7.506176,0.0,0.0
pepsin,Pepsin_1511,0.604,0.223,4759,8.631862,0.0563043970290405,0.4515912498318943
pepsin,Pepsin_1546,0.599,0.232,3615,7.7156415,0.0,0.0
pepsin,Pepsin_1630,0.469,0.162,4351,7.702204,0.5886817899838783,4.721541466024048
pepsin,Pepsin_1694,0.514,0.19,5091,7.406587,0.0,0.0
pepsin,Pepsin_1703,0.593,0.227,5891,8.070907,0.696269201890896,5.584449806632147
