Protein 1,Protein 2,LIS,LIA,ipTM,pTM,AFM Confidence,pLDDT,Distances,SASA,Change in SASA,MSA_depth_inhibitors,MSA_depth_peptidase
papain,cp-113972,0.5716,1705.6,0.8388,0.9524,0.8616,97.8698,5.7928476,1.194481327,7.859463925,1,47245
papain,aspartic_peptide_inhibitor_6,0.5618,2889.8,0.8374,0.9508,0.86,97.4626,5.91513568,0,0,2,47245
papain,S8B_1913,0.5466,5174.8,0.8202,0.941,0.8444,95.4916,5.82559336,0,0,10,47245
papain,M36_253,0.4778,3749.2,0.707,0.9414,0.7538,95.7856,5.86767134,0,0,4,47245
papain,Thermolysin_2182,0.4026,4314.2,0.703,0.9388,0.75,95.2572,5.58818124,0,0,7,47245
papain,M36_small_2,0.382,1463.8,0.6824,0.947,0.7354,96.6552,4.91624784,0.317502153,2.089104835,3,47245
papain,M36_225,0.3982,3662.6,0.663,0.9364,0.7176,95.2852,5.55691346,0,0,10,47245
papain,S8B_3054,0.4074,3782.2,0.6584,0.9366,0.7138,95.4476,5.7913021,0,0,8,47245
papain,Pepsin_2221,0.42,4241.8,0.6514,0.931,0.7072,94.417,5.73938238,0,0,14,47245
papain,Pepsin_1694,0.3592,4796,0.6466,0.931,0.7034,94.2828,5.98008778,0,0,8,47245
papain,S8B_2829,0.384,3040.4,0.637,0.9384,0.6968,95.5814,5.23571582,0,0,2,47245
papain,S8B_1042,0.3958,3888.4,0.635,0.9286,0.6936,93.9374,5.01305,0,0,709,47245
papain,Trypsin_2373,0.4122,3842,0.6322,0.9216,0.6902,93.279,5.26599358,0.298720966,1.965528136,6,47245
papain,M36_363,0.3368,3031.6,0.6234,0.9362,0.6858,94.9654,5.46129722,0,0,10,47245
papain,M36_240,0.401,3379.6,0.6222,0.934,0.6846,95.3674,6.1240555,0,0,8,47245
papain,M36_354,0.3818,4143.6,0.621,0.9208,0.681,92.7126,4.85610168,0,0,10,47245
papain,M36_109,0.3382,3156,0.6148,0.9344,0.6788,94.574,5.17433106,0.050180954,0.330181298,6,47245
papain,M36_small_1,0.3344,1711.6,0.6128,0.9432,0.6788,96.087,5.92121736,0,0,3,47245
papain,S8B_1664,0.4082,4036,0.5958,0.9236,0.6612,93.5162,5.20773186,0,0,13,47245
papain,Pepsin_2320,0.3726,3524.8,0.5868,0.9248,0.6542,93.5472,5.80318408,0.09097755,0.59861528,7,47245
papain,Trypsin_4901,0.3418,3602.2,0.5856,0.9278,0.654,93.9526,5.22769242,0.279280371,1.83761265,3,47245
papain,S8B_77,0.336,3450.2,0.573,0.928,0.644,94.3178,5.10538552,0,0,5,47245
papain,Trypsin_4530,0.3154,3673,0.5706,0.9244,0.6414,93.4374,5.92487518,0,0,14,47245
papain,Trypsin_4654,0.3242,4231,0.5688,0.9208,0.6388,92.5572,5.88023622,0.007134214,0.046941792,13,47245
papain,aspartic_peptide_inhibitor_2,0.29,2247.2,0.566,0.9364,0.6396,94.651,4.85213462,0,0,6,47245
papain,M36_232,0.3384,2878.2,0.5642,0.932,0.6376,94.603,5.57100566,0,0,7,47245
papain,Trypsin_1567,0.3118,3111,0.5578,0.917,0.6298,93.753,5.28648498,0,0,574,47245
papain,M36_455,0.348,3266.4,0.5574,0.9188,0.6298,92.9082,5.23340198,0,0,2,47245
papain,M36_129,0.3132,2707.2,0.5488,0.9308,0.6252,93.7516,4.67114918,0,0,15,47245
papain,Pepsin_1869,0.2882,2810,0.5442,0.9302,0.6212,93.8584,5.0507357,0.059776895,0.393320797,3,47245
papain,pepstatin_a,0.2876,1509.8,0.543,0.9408,0.6226,95.5404,5.76790908,0.930255781,6.120909206,1,47245
papain,h-256_peptide,0.2676,1571.8,0.538,0.9398,0.6184,95.5052,5.76232058,0.002791415,0.01836699,2,47245
papain,Pepsin_716,0.3076,2624.4,0.5328,0.9302,0.6118,94.1304,6.03862614,0,0,6,47245
papain,M36_44,0.2756,2629.6,0.5326,0.9292,0.6118,93.922,4.80622742,0,0,8,47245
papain,aspartic_peptide_inhibitor_4,0.263,2435.2,0.5318,0.93,0.6114,94.4814,6.31002386,0.014941904,0.098314935,8,47245
papain,Pepsin_909,0.3102,3504,0.531,0.9202,0.609,92.9422,6.01839278,0,0,6,47245
papain,Pepsin_1710,0.3282,3324.2,0.5284,0.9202,0.6068,92.8922,5.70512354,0,0,5,47245
papain,Pepsin_2565,0.307,3419.4,0.528,0.9226,0.607,93.1278,5.40142182,0,0,7,47245
papain,aspartic_peptide_inhibitor_3,0.2738,2383.4,0.5276,0.9324,0.6086,94.1178,5.74769036,0,0,14,47245
papain,S8B_3196,0.3106,3182,0.5272,0.9224,0.6062,93.1778,5.58721168,0,0,9,47245
papain,Pepsin_2001,0.317,3098.6,0.5202,0.9254,0.6012,93.5376,5.33375968,0,0,3,47245
papain,Thermolysin_164,0.264,3584.6,0.5178,0.919,0.598,92.38,5.0086178,0,0,16,47245
papain,M36_86,0.2592,2540.6,0.5164,0.9282,0.599,93.7126,5.52041144,0,0,14,47245
papain,M36_456,0.3276,3316.8,0.5148,0.9218,0.5962,92.9956,5.62431848,0,0,2,47245
papain,Thermolysin_1166,0.2762,3054,0.5146,0.9246,0.5966,93.6094,6.48225176,1.084108401,7.133230695,92,47245
papain,Pepsin_1546,0.2518,2314,0.5094,0.9318,0.5938,94.0758,5.22679084,0,0,7,47245
papain,S8B_1071,0.298,2711.6,0.5062,0.9236,0.5896,93.6136,5.14305222,0,0,4,47245
papain,S8B_1357,0.3042,3461.4,0.5042,0.9168,0.587,92.7158,4.78136808,0,0,385,47245
papain,Trypsin_735,0.308,2999,0.502,0.9202,0.5858,92.7422,4.38767584,0,0,6,47245
papain,M36_408,0.252,2481.2,0.5018,0.9258,0.5868,93.4942,5.1534476,0,0,1,47245
papain,Pepsin_1979,0.2756,2611,0.499,0.9256,0.584,93.4382,5.93535136,0,0,10,47245
papain,M36_211,0.2734,2343.2,0.4912,0.9272,0.5784,93.4142,5.62853798,0,0,5,47245
papain,aspartic_peptide_inhibitor_1,0.2474,2179.8,0.4898,0.9306,0.5782,93.894,5.21229276,0,0,9,47245
papain,S8B_2791,0.3022,3075.6,0.4818,0.9136,0.5684,92.2652,5.01063528,0,0,494,47245
papain,Thermolysin_1713,0.3026,2738.8,0.4816,0.9178,0.5688,92.6828,5.2717353,0,0,16,47245
papain,Thermolysin_350,0.2474,2569,0.4798,0.9246,0.5688,93.1664,5.46568028,0,0,5,47245
papain,Pepsin_405,0.274,2779.8,0.4784,0.9206,0.567,92.511,4.46578936,0,0,2,47245
papain,M36_409,0.271,2881.2,0.4742,0.918,0.563,92.437,5.49049722,0,0,8,47245
papain,Thermolysin_1445,0.2402,2504.8,0.4738,0.9238,0.5638,93.1842,5.27330672,0.354387231,2.331801759,105,47245
papain,aspartic_peptide_inhibitor_5,0.24,2242.4,0.4722,0.9276,0.5634,93.4654,5.73310208,0,0,5,47245
papain,M36_33,0.2458,2337,0.4704,0.9252,0.5614,92.973,4.6909284,0,0,6,47245
papain,Trypsin_3575,0.2532,2860.4,0.4678,0.9166,0.5574,92.4176,5.41232324,0,0,8,47245
papain,Thermolysin_63,0.2616,2483.8,0.4674,0.9238,0.5584,92.8946,5.65639124,0.008375841,0.05511147,5,47245
