,Protein 1,Protein 2,LIS,LIA,ipTM,pTM,AFM Confidence,pLDDT,PDB file path,PKL file path,MSA_depth_peptidase,MSA_depth_inhibitors,Binary_Label
TRYPSIN_and_trypsin_inhibitor_1,TRYPSIN,trypsin_inhibitor,0.742,13747,0.927,0.953,0.932,97.018,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,116213,126,1
TRYPSIN_and_trypsin_inhibitor_2,TRYPSIN,trypsin_inhibitor,0.724,13705,0.918,0.951,0.924,96.812,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,116213,126,1
TRYPSIN_and_trypsin_inhibitor_3,TRYPSIN,trypsin_inhibitor,0.723,13955,0.922,0.952,0.928,96.886,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,116213,126,1
TRYPSIN_and_trypsin_inhibitor_4,TRYPSIN,trypsin_inhibitor,0.738,13952,0.926,0.952,0.931,97.133,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,116213,126,1
TRYPSIN_and_trypsin_inhibitor_5,TRYPSIN,trypsin_inhibitor,0.741,13935,0.929,0.954,0.934,97.146,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,116213,126,1
TRYPSIN_II_ANIONIC_and_potato_cathepsin_d_inhibitor_1,TRYPSIN_II_ANIONIC,potato_cathepsin_d_inhibitor,0.597,78343,0.879,0.91,0.885,94.797,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,117039,3241,0
TRYPSIN_II_ANIONIC_and_potato_cathepsin_d_inhibitor_2,TRYPSIN_II_ANIONIC,potato_cathepsin_d_inhibitor,0.565,77795,0.869,0.897,0.874,94.226,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,117039,3241,0
TRYPSIN_II_ANIONIC_and_potato_cathepsin_d_inhibitor_3,TRYPSIN_II_ANIONIC,potato_cathepsin_d_inhibitor,0.59,78537,0.891,0.907,0.894,95.079,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,117039,3241,0
TRYPSIN_II_ANIONIC_and_potato_cathepsin_d_inhibitor_4,TRYPSIN_II_ANIONIC,potato_cathepsin_d_inhibitor,0.558,77709,0.879,0.899,0.883,94.23,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,117039,3241,0
TRYPSIN_II_ANIONIC_and_potato_cathepsin_d_inhibitor_5,TRYPSIN_II_ANIONIC,potato_cathepsin_d_inhibitor,0.054,4187,0.322,0.664,0.39,88.972,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,117039,3241,0
CP_2_and_amoebiasin_2_1,CP_2,amoebiasin_2,0.687,47069,0.922,0.938,0.925,97.581,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,49434,2999,1
CP_2_and_amoebiasin_2_2,CP_2,amoebiasin_2,0.691,47111,0.921,0.938,0.924,97.673,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,49434,2999,1
CP_2_and_amoebiasin_2_3,CP_2,amoebiasin_2,0.691,47127,0.917,0.936,0.921,97.56,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,49434,2999,1
CP_2_and_amoebiasin_2_4,CP_2,amoebiasin_2,0.68,46986,0.911,0.931,0.915,97.336,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,49434,2999,1
