Peptidase,Peptidase Family,Inhibitor,Inhibitor Family
ENDOTHIAPEPSIN,Aspartic,h77,Aspartic
CALCIUM_DEPENDENT_PROTEASE,Cysteine,calpastatin,Cysteine
PROTEINASE_K,Serine,lactoferrin,Serine
BETA_ACROSIN_HEAVY_CHAIN,Serine,beta_acrosin_light_chain,Serine
PROTHROMBIN,Serine,prothrombin_inhibitor,Serine
BOTULINUM_NEUROTOXIN_TYPE_A,Metallo,synaptotagmin_2,Metallo
72_KDA_TYPE_IV_COLLAGENASE,Metallo,amyloid_beta_a4_protein,Metallo
SHEWANELLA_ONEIDENSIS_PEPTIDASE,Aspartic,shewanella_odeidensis_peptidase_inhibitor,Aspartic
NS3_4A_PROTEASE,Serine,product_trif,Serine
DIPEPTIDYL_PEPTIDASE_3,Metallo,tynorphin,Metallo
ANGIOTENSIN_CONVERTING_ENZYME,Metallo,angiotensin_2,Metallo
HUMAN_ADENOVIRUS_D8_PROTEASE,Cysteine,pvi,Cysteine
THERMOLYSIN,Metallo,amyloid_beta_a4_protein_2,Metallo
MIROLYSIN,Metallo,putative_lipoprotein,Metallo
COAGULATION_FACTOR_XI,Serine,coagulation_factor_xi_inhibitor,Serine
GAG_PRO_POL_POLYPROTEIN,Aspartic,gag_pro_pol_polyprotein_inhibitor,Aspartic
RENIN,Aspartic,aspartic_peptidase_inhibitor_1,Aspartic
RENIN,Aspartic,aspartic_peptidase_inhibitor_2,Aspartic
RENIN,Aspartic,aspartic_peptidase_inhibitor_3,Aspartic
BACE,Aspartic,aspartic_peptidase_inhibitor_4,Aspartic
BACE,Aspartic,aspartic_peptidase_inhibitor_5,Aspartic
PLASMEPSIN_2,Aspartic,aspartic_peptidase_inhibitor_6,Aspartic
CANDIDAPEPSIN_3,Aspartic,pepstatin_a,Aspartic
ENDOTHIAPEPSIN ,Aspartic,h_256,Aspartic
CHYMOSIN,Aspartic,cp_113972,Aspartic
CAAX_PRENYL_PROTEASE_1_HOMOLOG,Metallo,prelamin_a_c,Metallo
SERINE_PROTEASE_NS3,Serine,cp5_46_a_peptide,Serine
ANGIOTENSIN_CONVERTING_ENZYME_2,Metallo,bradykinin_potentiating_peptide_b,Metallo
SUBTILISIN_LIKE_PROTEASE,Serine,substrate_analogue,Serine
UBIQUITIN_CARBOXYL_TERMINAL_HYDROLASE_7,Cysteine,ubiquitin_carboxyl_terminal_hydrolase_7_inhibitor,Cysteine
NS3_PROTEASE,Serine,ns4a_peptide,Serine
SUBTILISIN_BPN,Serine,subtilisin_bpn_tetrapeptide_inhibitor,Serine
3C_LIKE_PROTEINASE,Cysteine,pep2,Cysteine
3C_LIKE_PROTEINASE,Cysteine,pep3,Cysteine
3C_LIKE_PROTEINASE,Cysteine,pep4,Cysteine
3C_LIKE_PROTEINASE,Cysteine,pep6,Cysteine
3C_LIKE_PROTEINASE,Cysteine,3c_like_proteinase_inhibitor,Cysteine
ALKALINE_PROTEASE,Metallo,alkaline_protease_tetrapeptide_inhibitor,Metallo
TWO_CHAIN_TISSUE_PLASMINOGEN_ACTIVATOR,Serine,two_chain_tissue_plasminogen_activator_inhibitor,Serine
PROTEINASE_A,Aspartic,proteinase_inhibitor_ia3_peptide,Aspartic
THROMBIN,Serine,decapeptide_inhibitor,Serine
ALPHA_THROMBIN,Serine,hirugen,Serine
ENDOTHIAPEPSIN,Aspartic,ps1,Aspartic
ENDOTHIAPEPSIN,Aspartic,ps2,Aspartic
ALPHA_THROMBIN_2,Serine,thrombin_nonapeptide_inhibitor,Serine
NEUTROPHIL_COLLAGENASE,Metallo,neutrophil_collagenase_inhibitor,Metallo
METALLOPROTEINASE,Metallo,enw,Metallo
METALLOPROTEINASE,Metallo,ekw,Metallo
METALLOPROTEINASE,Metallo,eqw,Metallo
TRYPSIN,Serine,trypsin_inhibitor_1,Serine
TRYPSIN,Serine,trypsin_inhibitor_2,Serine
ELASTASE,Serine,inhibitor_fr901451,Serine
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,Serine,upain_1_w3a,Serine
BONT_A,Metallo,jth_nb72_39_inhibitior,Metallo
ST14_PROTEIN,Serine,trypsin_inhibitor_1,Serine
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,Serine,bicyclic_peptide_inhibitor,Serine
KALLIKREIN_4,Serine,trypsin_inhibitor_1_kallikrein,Serine
SUPPRESSOR_OF_TUMORIGENICITY_14_PROTEIN,Serine,peptide_cglr,Serine
UROKINASE_TYPE_PLASMINOGEN_ACTIVATOR,Serine,mupain_1_17,Serine
PLASMA_KALLIKREIN_LIGHT_CHAIN,Serine,plasma_kallikrein_light_chain_inhibitor,Serine
TRYPSIN,Serine,9mer_peptide,Serine
TRYPSIN,Serine,3mer_peptide,Serine
RHOMBOID_PROTEASE_GIPG,Serine,peptide_boronate_inhibitor,Serine
RHOMBOID_PROTEASE_GIPG,Serine,peptide_ketoamide_inhibitor,Serine
