Protein 1,Protein 2,LIS,Protein 1,Protein 2,Binary_Label
3C_LIKE_PROTEINASE,lactoferrin,0.43,3C_LIKE_PROTEINASE,lactoferrin,0.0
3C_LIKE_PROTEINASE,ns4a_peptide,0.251,3C_LIKE_PROTEINASE,ns4a_peptide,0.0
3C_LIKE_PROTEINASE,pep4,0.329,3C_LIKE_PROTEINASE,pep4,1.0
3C_LIKE_PROTEINASE,pep6,0.212,3C_LIKE_PROTEINASE,pep6,1.0
3C_LIKE_PROTEINASE,trypsin_inhibitor_1_kallikrein,0.209,3C_LIKE_PROTEINASE,trypsin_inhibitor_1_kallikrein,0.0
72_KDA_TYPE_IV_COLLAGENASE,amyloid_beta_a4_protein,0.695,72_KDA_TYPE_IV_COLLAGENASE,amyloid_beta_a4_protein,1.0
ALKALINE_PROTEASE,hirugen,0.218,ALKALINE_PROTEASE,hirugen,0.0
ALPHA_THROMBIN,hirugen,0.652,ALPHA_THROMBIN,hirugen,1.0
ANGIOTENSIN_CONVERTING_ENZYME_2,bradykinin_potentiating_peptide_b,0.246,ANGIOTENSIN_CONVERTING_ENZYME_2,bradykinin_potentiating_peptide_b,1.0
ANGIOTENSIN_CONVERTING_ENZYME_2,upain_1_w3a,0.201,ANGIOTENSIN_CONVERTING_ENZYME_2,upain_1_w3a,0.0
BACE,aspartic_peptidase_inhibitor_4,0.261,BACE,aspartic_peptidase_inhibitor_4,1.0
BACE,aspartic_peptidase_inhibitor_5,0.205,BACE,aspartic_peptidase_inhibitor_5,1.0
BACE,bicyclic_peptide_inhibitor,0.139,BACE,bicyclic_peptide_inhibitor,0.0
BACE,pvi,0.14,BACE,pvi,0.0
BETA_ACROSIN_HEAVY_CHAIN,beta_acrosin_light_chain,0.612,BETA_ACROSIN_HEAVY_CHAIN,beta_acrosin_light_chain,1.0
BONT_A,pep6,0.173,BONT_A,pep6,0.0
BOTULINUM_NEUROTOXIN_TYPE_A,pep6,0.043,BOTULINUM_NEUROTOXIN_TYPE_A,pep6,0.0
BOTULINUM_NEUROTOXIN_TYPE_A,synaptotagmin_2,0.384,BOTULINUM_NEUROTOXIN_TYPE_A,synaptotagmin_2,1.0
CALCIUM_DEPENDENT_PROTEASE,aspartic_peptidase_inhibitor_1,0.031,CALCIUM_DEPENDENT_PROTEASE,aspartic_peptidase_inhibitor_1,0.0
CALCIUM_DEPENDENT_PROTEASE,calpastatin,0.7,CALCIUM_DEPENDENT_PROTEASE,calpastatin,1.0
CANDIDAPEPSIN_3,synaptotagmin_2,0.162,CANDIDAPEPSIN_3,synaptotagmin_2,0.0
COAGULATION_FACTOR_XI,coagulation_factor_xi_inhibitor,0.176,COAGULATION_FACTOR_XI,coagulation_factor_xi_inhibitor,1.0
DIPEPTIDYL_PEPTIDASE_3,decapeptide_inhibitor,0.221,DIPEPTIDYL_PEPTIDASE_3,decapeptide_inhibitor,0.0
ELASTASE,inhibitor_fr901451,0.255,ELASTASE,inhibitor_fr901451,1.0
