Protein 1,Protein 2,LIS,Protein 1,Protein 2,Binary_Label
3C_LIKE_PROTEINASE,3c_like_proteinase_inhibitor,0.539,3C_LIKE_PROTEINASE,3c_like_proteinase_inhibitor,1.0
3C_LIKE_PROTEINASE,pep2,0.303,3C_LIKE_PROTEINASE,pep2,1.0
3C_LIKE_PROTEINASE,pep3,0.233,3C_LIKE_PROTEINASE,pep3,1.0
3C_LIKE_PROTEINASE,peptide_cglr,0.423,3C_LIKE_PROTEINASE,peptide_cglr,0.0
3C_LIKE_PROTEINASE,peptide_ketoamide_inhibitor,0.301,3C_LIKE_PROTEINASE,peptide_ketoamide_inhibitor,0.0
72_KDA_TYPE_IV_COLLAGENASE,pepstatin_a,0.431,72_KDA_TYPE_IV_COLLAGENASE,pepstatin_a,0.0
ALKALINE_PROTEASE,alkaline_protease_tetrapeptide_inhibitor,0.329,ALKALINE_PROTEASE,alkaline_protease_tetrapeptide_inhibitor,1.0
ALPHA_THROMBIN,thrombin_nonapeptide_inhibitor,0.572,ALPHA_THROMBIN,thrombin_nonapeptide_inhibitor,1.0
ALPHA_THROMBIN,tynorphin,0.435,ALPHA_THROMBIN,tynorphin,0.0
ALPHA_THROMBIN_2,ps2,0.284,ALPHA_THROMBIN_2,ps2,0.0
ANGIOTENSIN_CONVERTING_ENZYME,angiotensin_2,0.352,ANGIOTENSIN_CONVERTING_ENZYME,angiotensin_2,1.0
ANGIOTENSIN_CONVERTING_ENZYME,aspartic_peptidase_inhibitor_6,0.254,ANGIOTENSIN_CONVERTING_ENZYME,aspartic_peptidase_inhibitor_6,0.0
BETA_ACROSIN_HEAVY_CHAIN,ps1,0.337,BETA_ACROSIN_HEAVY_CHAIN,ps1,0.0
BONT_A,jth_nb72_39_inhibitior,0.225,BONT_A,jth_nb72_39_inhibitior,1.0
CAAX_PRENYL_PROTEASE_1_HOMOLOG,3c_like_proteinase_inhibitor,0.25,CAAX_PRENYL_PROTEASE_1_HOMOLOG,3c_like_proteinase_inhibitor,0.0
CAAX_PRENYL_PROTEASE_1_HOMOLOG,prelamin_a_c,0.197,CAAX_PRENYL_PROTEASE_1_HOMOLOG,prelamin_a_c,1.0
CANDIDAPEPSIN_3,pepstatin_a,0.133,CANDIDAPEPSIN_3,pepstatin_a,1.0
CHYMOSIN,cp_113972,0.397,CHYMOSIN,cp_113972,1.0
CHYMOSIN,pep2,0.409,CHYMOSIN,pep2,0.0
COAGULATION_FACTOR_XI,pepstatin_a,0.514,COAGULATION_FACTOR_XI,pepstatin_a,0.0
DIPEPTIDYL_PEPTIDASE_3,tynorphin,0.419,DIPEPTIDYL_PEPTIDASE_3,tynorphin,1.0
ELASTASE,3c_like_proteinase_inhibitor,0.402,ELASTASE,3c_like_proteinase_inhibitor,0.0
ENDOTHIAPEPSIN,3mer_peptide,0.382,ENDOTHIAPEPSIN,3mer_peptide,0.0
ENDOTHIAPEPSIN,eqw,0.338,ENDOTHIAPEPSIN,eqw,0.0
