,Protein 1,Protein 2,LIS,LIA,ipTM,pTM,AFM Confidence,pLDDT,PDB file path,PKL file path,Distances,SASA,Change in SASA,MSA_depth_peptidase,MSA_depth_inhibitors
papain_and_M36_102_1,papain,M36_102,0.393,2417,0.578,0.919,0.646,93.532,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,5.5597644,0.0,0.0,47245,10
papain_and_M36_102_2,papain,M36_102,0.228,2145,0.373,0.91,0.481,91.815,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,4.597759,0.0,0.0,47245,10
papain_and_M36_102_3,papain,M36_102,0.364,2333,0.496,0.916,0.58,93.519,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,5.509749,0.0,0.0,47245,10
papain_and_M36_102_4,papain,M36_102,0.225,2251,0.382,0.911,0.488,91.872,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,5.6598186,0.0,0.0,47245,10
papain_and_M36_102_5,papain,M36_102,0.236,1982,0.378,0.91,0.484,91.403,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,5.060537,0.0,0.0,47245,10
papain_and_Pepsin_1630_1,papain,Pepsin_1630,0.088,2375,0.343,0.91,0.456,92.088,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,8.5986805,1.8324008728196177,12.056855328461756,47245,122
papain_and_Pepsin_1630_2,papain,Pepsin_1630,0.197,2740,0.394,0.913,0.498,92.054,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,5.2984824,0.0,0.0,47245,122
papain_and_Pepsin_1630_3,papain,Pepsin_1630,0.148,2687,0.364,0.91,0.473,92.091,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,6.9917903,3.4632433408654304,22.787494018064418,47245,122
papain_and_Pepsin_1630_4,papain,Pepsin_1630,0.082,2918,0.345,0.908,0.458,91.543,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,5.0559916,0.0,0.0,47245,122
papain_and_Pepsin_1630_5,papain,Pepsin_1630,0.126,3108,0.391,0.912,0.495,92.011,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,9.085086,0.8988039735286232,5.913962189292164,47245,122
papain_and_Original_8_1,papain,Original_8,0.168,2482,0.326,0.885,0.438,88.082,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,4.374032,0.0,0.0,47245,14
papain_and_Original_8_2,papain,Original_8,0.132,3739,0.362,0.887,0.467,87.538,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,2.8026376,0.0,0.0,47245,14
papain_and_Original_8_3,papain,Original_8,0.208,3500,0.426,0.894,0.52,89.766,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,5.601931,0.0,0.0,47245,14
papain_and_Original_8_4,papain,Original_8,0.182,3065,0.329,0.886,0.44,88.267,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,3.6666157,0.0,0.0,47245,14
papain_and_Original_8_5,papain,Original_8,0.194,3174,0.374,0.889,0.477,88.809,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,5.8013663,0.0,0.0,47245,14
papain_and_M36_small_1_1,papain,M36_small_1,0.479,2130,0.766,0.95,0.803,97.078,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,5.9697814,0.0,0.0,47245,3
papain_and_M36_small_1_2,papain,M36_small_1,0.337,1668,0.628,0.943,0.691,96.601,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,5.767201,0.0,0.0,47245,3
papain_and_M36_small_1_3,papain,M36_small_1,0.248,1542,0.508,0.939,0.594,95.245,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,5.61264,0.0,0.0,47245,3
papain_and_M36_small_1_4,papain,M36_small_1,0.359,1680,0.644,0.945,0.704,96.33,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,5.7116294,0.0,0.0,47245,3
papain_and_M36_small_1_5,papain,M36_small_1,0.249,1538,0.518,0.939,0.602,95.181,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,6.544835,0.0,0.0,47245,3
papain_and_Trypsin_2373_1,papain,Trypsin_2373,0.48,4461,0.75,0.928,0.785,93.941,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,5.4191713,0.0,0.0,47245,6
papain_and_Trypsin_2373_2,papain,Trypsin_2373,0.322,3350,0.512,0.915,0.593,92.446,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,4.85386,0.0,0.0,47245,6
papain_and_Trypsin_2373_3,papain,Trypsin_2373,0.472,4369,0.689,0.928,0.737,93.999,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,5.23597,0.0,0.0,47245,6
papain_and_Trypsin_2373_4,papain,Trypsin_2373,0.36,2767,0.544,0.912,0.618,92.344,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,5.3532896,0.0,0.0,47245,6
papain_and_Trypsin_2373_5,papain,Trypsin_2373,0.427,4263,0.666,0.925,0.718,93.665,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,5.467677,1.4936048303360212,9.827640678615747,47245,6
papain_and_S8B_884_1,papain,S8B_884,0.264,2222,0.449,0.921,0.543,93.029,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,4.2381186,0.0,0.0,47245,2
papain_and_S8B_884_2,papain,S8B_884,0.283,2431,0.459,0.921,0.552,93.372,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,4.7336216,0.0,0.0,47245,2
papain_and_S8B_884_3,papain,S8B_884,0.276,2040,0.419,0.918,0.519,93.061,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,5.1782913,0.0,0.0,47245,2
papain_and_S8B_884_4,papain,S8B_884,0.287,2491,0.469,0.922,0.56,93.502,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,5.15583,0.0,0.0,47245,2
