Peptidase,Peptidase Family,Inhibitor,Inhibitor Family,Binary_Label
Papain (P00784),Cysteine ,cystatin A (P01040),Cysteine ,1
Papain (P00784),Cysteine ,cystatin B (P04080),Cysteine ,1
Calpain (P17655),Cysteine ,Calpastatin (P12675),Cysteine ,1
Papain (P00784),Cysteine ,Chagasin (Q966X9),Cysteine ,1
Papain (P00784),Cysteine ,equistatin (P81439),Cysteine ,1
Calpain (P17655),Cysteine ,kininogen inhibitor unit 2 (P01042),Cysteine ,1
Cathepsin H (O46427),Cysteine ,cystatin A (P01040),Cysteine ,1
Papain (P00784),Cysteine ,Falstatin (A0A509AJA5),Cysteine ,1
Cathepsin L  (P07711),Cysteine ,Falstatin (A0A509AJA5),Cysteine ,1
CP 1 (Q01957),Cysteine ,Amoebiasin-2 (Q4GZL2),Cysteine ,1
CP 2 (Q01958),Cysteine ,Amoebiasin-2 (Q4GZL2),Cysteine ,1
Calpain-2 catalytic subunit (Q07009),Cysteine ,Calpastatin 2 (P27321),Cysteine ,1
Thermolysin ( P00800),Metallo,SMPI (P01077),Metallo,1
Thermolysin ( P00800),Metallo,IMPI (P82176),Metallo,1
SpoIVFB (P26937 ),Metallo,BofA (P24282),Metallo,1
MMP-1 (P03956),Metallo,TIMP-1 (P01033),Metallo,1
Serralysin (P23694),Metallo,Serralysin inh (Q54478),Metallo,1
MMP-3 (P08254 ),Metallo,TIMP-1 (P01033),Metallo,1
Serralysin (P23694),Metallo,ERWINIA CHRYSANTHEMI INHIBITOR (P18958),Metallo,1
Carboxypeptidase A4 (Q9UI42),Metallo,Latexin (Q9BS40),Metallo,1
Carboxypeptidase A1 (P15085),Metallo,TCI1 (Q5EPH2),Metallo,1
Carboxypeptidase B (P15086),Metallo,TCI1 (Q5EPH2),Metallo,1
Pepsin (P00791),Aspartic,Aspin (P19400),Aspartic,1
saccharopepsin (P07267),Aspartic,saccharopepsin inh (P01094),Aspartic,1
Pepsin (P00791),Aspartic,SQAPI (Q6DLC9 ),Aspartic,1
PROTEINASE A,Aspartic,proteinase inhibitor ia3 peptide,Aspartic,1
Cathepsin D (P07339),Aspartic,Potato cathepsin D inhibitor (P16348),Aspartic,1
Elastase (Q3UP87),Serine,CmPI-II (P84755),Serine,1
Trypsin (P00760),Serine,Trypsin inhibitor (P82409),Serine,1
Prothrombin,Serine,prothrombin inhibitor,Serine,1
Trypsin (P00760),Serine,ovomucoid inhibitor unit 3 (P68390),Serine,1
Trypsin (P00760),Serine,Pancreatic trypsin inhibitor (P00974),Serine,1
Kalicrein (P06870),Serine,Pancreatic trypsin inhibitor (P00974),Serine,1
Elastase (Q3UP87),Serine,Serine protease inhibitor 1 (P58514),Serine,1
Trypsin (P00760),Serine,Kunitz trypsin inhibitor 4 (Q8RXD5),Serine,1
Trypsin (P00760),Serine,Serine protease inhibitor 1 (P58514),Serine,1
chymotrypsin A (P00766 ),Serine,Serine protease inhibitor 1 (P58514),Serine,1
Kallikrein (P06870),Serine,taicotoxin (B7S4N9),Serine,1
Trypsin (P00760),Serine,taicotoxin (B7S4N9),Serine,1
