Protein 1,Protein 2,LIS,LIA,ipTM,pTM,AFM Confidence,pLDDT,MSA_depth_peptidase,MSA_depth_inhibitors,Binary_Label
ALKALINE_PROTEASE_1,afuei,0.715,38085.8,0.9256,0.9202,0.9248000000000001,94.411,55834.0,1475.0,1.0
ALKALINE_PROTEASE_1,latexin,0.22519999999999998,53521.8,0.5115999999999999,0.7323999999999999,0.5558,90.61659999999999,55834.0,2177.0,0.0
CALPAIN,calpastatin,0.373,45552.0,0.8016,0.5654,0.754,55.03099999999999,44449.0,4550.0,1.0
CALPAIN,kininogen_inhibitor_unit_2,0.2984,81409.4,0.6874,0.6142,0.6726,69.9234,44449.0,6535.0,1.0
CALPAIN,rhodniin,0.0,0.0,0.2572,0.745,0.35459999999999997,78.81559999999999,44449.0,16117.0,0.0
CALPAIN,tci1,0.0,0.0,0.2754,0.7644,0.37320000000000003,79.9654,44449.0,270.0,0.0
CALPAIN_2,calpastatin_2,0.319,39220.0,0.7368,0.5576000000000001,0.7012,54.251599999999996,44560.0,5518.0,1.0
CALPAIN_2,pancreatic_trypsin_inhibitor,0.0026000000000000003,0.8,0.33199999999999996,0.7814,0.42219999999999996,82.48479999999999,44560.0,27511.0,0.0
CARBOXYPEPTIDASE_A1,tci1,0.7352000000000001,46063.2,0.9549999999999998,0.9591999999999998,0.9559999999999998,98.0922,32675.0,270.0,1.0
CARBOXYPEPTIDASE_A1,trypsin_inhibitor,0.1286,6345.0,0.403,0.9016,0.503,90.5026,32675.0,126.0,0.0
CARBOXYPEPTIDASE_A4,latexin,0.7096,131943.4,0.9411999999999999,0.9516,0.9431999999999998,97.05460000000001,35121.0,2177.0,1.0
CARBOXYPEPTIDASE_A4,pancreatic_trypsin_inhibitor,0.13,10543.8,0.4242,0.8686,0.5132,90.9426,35121.0,27511.0,0.0
CARBOXYPEPTIDASE_B,serine_protease_inhibitor_1,0.0866,5248.2,0.28759999999999997,0.742,0.37839999999999996,90.5016,32464.0,2583.0,0.0
CARBOXYPEPTIDASE_B,tci1,0.6686,44918.2,0.9188000000000001,0.958,0.9266,97.037,32464.0,270.0,1.0
CATHEPSIN_D,latexin,0.0204,977.4,0.23079999999999998,0.632,0.31100000000000005,87.10679999999999,40647.0,2177.0,0.0
CATHEPSIN_D,potato_cathepsin_d_inhibitor,0.1022,27103.8,0.4128,0.7376,0.47759999999999997,86.34639999999999,40647.0,3241.0,1.0
CATHEPSIN_H,cystatin_A,0.7028,41359.2,0.9234,0.951,0.929,97.2102,51411.0,4998.0,1.0
CATHEPSIN_H,kunitz_trypsin_inhibitor_4,0.005,3.2,0.153,0.5848,0.2394,86.1216,51411.0,4858.0,0.0
CATHEPSIN_L,falstatin,0.6598,63911.0,0.9328000000000001,0.6816000000000001,0.8824,72.95660000000001,51628.0,1761.0,1.0
CATHEPSIN_L,tci1,0.1406,4073.4,0.34540000000000004,0.7774,0.4316,85.6422,51628.0,270.0,0.0
CHYMOTRYPSIN_A,cystatin_B,0.0482,1097.0,0.26639999999999997,0.7263999999999999,0.3582,86.8108,118780.0,4936.0,0.0
CHYMOTRYPSIN_A,serine_protease_inhibitor_1,0.5346,63173.0,0.8894,0.8994,0.8916000000000001,94.42,118780.0,2583.0,1.0
CP_1,amoebiasin_2,0.6908,47061.6,0.9192,0.9356,0.9226000000000001,97.4922,49718.0,2999.0,1.0
