Protein 1,Protein 2,LIS,LIA,ipTM,pTM,AFM Confidence,pLDDT,Distances,SASA,Change in SASA,MSA_depth_inhibitors,MSA_depth_peptidase
M36,BSA,0.0,0.0,0.18039999999999998,0.5606,0.25680000000000003,90.15520000000001,17.654995,9.975584251792304,79.83660865780156,5302.0,17877.0
M36,M36_102,0.1486,4722.0,0.4816,0.9399999999999998,0.5736000000000001,93.8326,6.39568008,0.02470836073168774,0.19774598424720088,10.0,17877.0
M36,M36_109,0.1632,4291.6,0.5206000000000001,0.9456,0.6056,94.2282,6.973386639999999,2.0577546605933312,16.468624734640507,6.0,17877.0
M36,M36_129,0.1564,4356.0,0.5208,0.9458,0.6056,94.2158,6.905396039999999,0.6954332759206991,5.565692484359337,15.0,17877.0
M36,M36_139,0.1272,3508.0,0.47240000000000004,0.9442,0.567,94.0906,6.508833,1.0637137936269985,8.513115595254089,8.0,17877.0
M36,M36_15,0.076,3228.6,0.453,0.9427999999999999,0.5508,94.1746,8.1090912,6.555680883021364,52.46643363762597,112.0,17877.0
M36,M36_211,0.23559999999999998,5607.2,0.6244,0.9475999999999999,0.6888,94.8716,6.50485212,0.0,0.0,5.0,17877.0
M36,M36_225,0.06020000000000001,3137.6,0.442,0.9404,0.542,93.7256,6.997186479999999,2.909929341671793,23.28875023346773,10.0,17877.0
M36,M36_232,0.1526,4050.8,0.504,0.945,0.5923999999999999,94.276,6.48807554,1.444739953346217,11.562544644627588,7.0,17877.0
M36,M36_240,0.147,3904.4,0.47240000000000004,0.9433999999999999,0.5668,94.09,6.31268734,3.087409759466783,24.70916174043044,8.0,17877.0
M36,M36_253,0.11179999999999998,3231.8,0.4612,0.9436,0.5578,94.2338,7.202896300000001,2.417064005187531,19.344249741396805,4.0,17877.0
M36,M36_267,0.026600000000000002,1198.6,0.3646,0.938,0.47940000000000005,93.678,8.2093943,3.290399927619847,26.333732914124425,12.0,17877.0
