,Protein 1,Protein 2,LIS,LIA,ipTM,pTM,AFM Confidence,pLDDT,PDB file path,PKL file path,Distances,SASA,Change in SASA,MSA_depth_peptidase,MSA_depth_inhibitors
pepsin_and_Thermolysin_1445_1,pepsin,Thermolysin_1445,0.183,3911,0.525,0.929,0.606,92.372,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,9.155204,0.1913334158705171,1.534595892448806,41918,105
pepsin_and_Thermolysin_1445_2,pepsin,Thermolysin_1445,0.163,2983,0.439,0.925,0.536,92.165,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,8.577578,12.449458521849005,99.85128747071708,41918,105
pepsin_and_Thermolysin_1445_3,pepsin,Thermolysin_1445,0.171,3868,0.508,0.929,0.592,92.412,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,11.90868,12.780659280939947,102.50769394401627,41918,105
pepsin_and_Thermolysin_1445_4,pepsin,Thermolysin_1445,0.169,3414,0.471,0.928,0.563,91.872,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,9.969016,2.4628707704286397,19.75353521357587,41918,105
pepsin_and_Thermolysin_1445_5,pepsin,Thermolysin_1445,0.191,3600,0.498,0.928,0.584,91.987,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,9.910921,0.0,0.0,41918,105
pepsin_and_pepstatin_a_1,pepsin,pepstatin_a,0.29,2399,0.657,0.945,0.715,95.337,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,7.5030317,0.0,0.0,41918,1
pepsin_and_pepstatin_a_2,pepsin,pepstatin_a,0.315,2426,0.672,0.941,0.726,94.849,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,7.880171,0.0,0.0,41918,1
pepsin_and_pepstatin_a_3,pepsin,pepstatin_a,0.261,2245,0.601,0.945,0.67,95.147,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,7.5518312,0.0,0.0,41918,1
pepsin_and_pepstatin_a_4,pepsin,pepstatin_a,0.352,2432,0.717,0.946,0.763,95.386,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,7.452847,0.0,0.0,41918,1
pepsin_and_pepstatin_a_5,pepsin,pepstatin_a,0.5,4026,0.884,0.95,0.897,96.748,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,6.9701157,0.0,0.0,41918,1
pepsin_and_Thermolysin_3395_1,pepsin,Thermolysin_3395,0.175,4689,0.5,0.927,0.585,91.514,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,9.179813,1.7620956748851966,14.132945740176424,41918,13
pepsin_and_Thermolysin_3395_2,pepsin,Thermolysin_3395,0.195,3959,0.461,0.925,0.554,91.691,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,8.494563,12.07045622668064,96.8114872207302,41918,13
pepsin_and_Thermolysin_3395_3,pepsin,Thermolysin_3395,0.187,3985,0.46,0.927,0.554,92.338,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,8.52423,12.614984804427502,101.17889641023021,41918,13
pepsin_and_Thermolysin_3395_4,pepsin,Thermolysin_3395,0.169,3504,0.43,0.926,0.529,91.185,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,8.996625,2.6251542740564786,21.055135338919463,41918,13
pepsin_and_Thermolysin_3395_5,pepsin,Thermolysin_3395,0.148,3700,0.433,0.922,0.531,91.267,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,8.377534,0.0,0.0,41918,13
pepsin_and_S8B_1779_1,pepsin,S8B_1779,0.211,4825,0.57,0.932,0.643,92.288,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,8.682712,7.387934325821715,59.25516783623448,41918,15
pepsin_and_S8B_1779_2,pepsin,S8B_1779,0.46,8615,0.836,0.944,0.857,95.115,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,6.81783,0.0,0.0,41918,15
pepsin_and_S8B_1779_3,pepsin,S8B_1779,0.258,5385,0.619,0.937,0.682,93.557,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,7.2691984,0.0,0.0,41918,15
pepsin_and_S8B_1779_4,pepsin,S8B_1779,0.349,6346,0.725,0.942,0.769,93.694,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,7.7783847,3.5404366014476545,28.39618705043034,41918,15
pepsin_and_S8B_1779_5,pepsin,S8B_1779,0.264,5523,0.64,0.936,0.7,93.099,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,7.497916,0.0,0.0,41918,15
pepsin_and_Thermolysin_777_1,pepsin,Thermolysin_777,0.169,3417,0.438,0.916,0.534,90.968,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,8.024695,1.880826603237297,15.08523101730267,41918,153
pepsin_and_Thermolysin_777_2,pepsin,Thermolysin_777,0.159,2991,0.398,0.912,0.5,90.558,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,8.25032,0.0,0.0,41918,153
pepsin_and_Thermolysin_777_3,pepsin,Thermolysin_777,0.14,3085,0.391,0.915,0.496,90.77,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,8.667727,0.0,0.0,41918,153
pepsin_and_Thermolysin_777_4,pepsin,Thermolysin_777,0.147,3175,0.408,0.912,0.509,90.016,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,8.856572,0.0,0.0,41918,153
pepsin_and_Thermolysin_777_5,pepsin,Thermolysin_777,0.119,2662,0.367,0.912,0.476,90.108,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,8.507624,0.0,0.0,41918,153
pepsin_and_M36_284_1,pepsin,M36_284,0.173,3284,0.439,0.922,0.536,91.099,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,7.7346377,12.059201304384692,96.72121674995743,41918,10
pepsin_and_M36_284_2,pepsin,M36_284,0.186,3503,0.456,0.921,0.549,90.911,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,8.109943,4.411112509369935,35.379471522055944,41918,10
pepsin_and_M36_284_3,pepsin,M36_284,0.175,4068,0.464,0.926,0.557,92.153,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,11.47446,12.654826111858181,101.49844491384489,41918,10
pepsin_and_M36_284_4,pepsin,M36_284,0.178,2971,0.401,0.923,0.506,91.138,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,8.790241,12.377762218113595,99.27624493193451,41918,10
pepsin_and_M36_284_5,pepsin,M36_284,0.161,3198,0.424,0.922,0.523,91.1,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,8.141049,12.701311309667174,101.87128095658626,41918,10
pepsin_and_S8B_2365_1,pepsin,S8B_2365,0.158,5226,0.516,0.927,0.598,91.763,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,7.98879,2.291478475843454,18.37887773374602,41918,10
pepsin_and_S8B_2365_2,pepsin,S8B_2365,0.193,4984,0.521,0.925,0.601,91.564,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,8.346654,1.4684218157921025,11.777524990312019,41918,10
pepsin_and_S8B_2365_3,pepsin,S8B_2365,0.186,4980,0.517,0.929,0.599,92.572,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,9.634938,7.375628542397951,59.156468899566505,41918,10
pepsin_and_S8B_2365_4,pepsin,S8B_2365,0.175,5019,0.515,0.929,0.597,91.923,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,8.561201,3.995518258879606,32.04618430285215,41918,10
pepsin_and_S8B_2365_5,pepsin,S8B_2365,0.169,4535,0.486,0.926,0.574,91.327,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,9.646791,0.13806909298080783,1.1073876562464535,41918,10
pepsin_and_Pepsin_1703_1,pepsin,Pepsin_1703,0.17,4472,0.49,0.925,0.577,91.281,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,8.070907,0.696269201890896,5.584449806632147,41918,8
pepsin_and_Pepsin_1703_2,pepsin,Pepsin_1703,0.198,4816,0.528,0.924,0.607,91.696,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,9.387277,5.06880373920698,40.6545054476017,41918,8
pepsin_and_Pepsin_1703_3,pepsin,Pepsin_1703,0.225,4916,0.552,0.932,0.628,93.006,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,8.579004,6.933511728791172,55.61045659922339,41918,8
pepsin_and_Pepsin_1703_4,pepsin,Pepsin_1703,0.227,5891,0.593,0.933,0.661,92.12,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,10.475828,12.80643834240282,102.71445574593214,41918,8
pepsin_and_Pepsin_1703_5,pepsin,Pepsin_1703,0.179,4824,0.505,0.928,0.589,91.672,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,9.389375,12.608877150419122,101.12990977237024,41918,8
pepsin_and_Thermolysin_2182_1,pepsin,Thermolysin_2182,0.196,4246,0.531,0.932,0.611,92.185,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,8.229879,3.2497176929945604,26.064466578397177,41918,7
pepsin_and_Thermolysin_2182_2,pepsin,Thermolysin_2182,0.186,3646,0.476,0.928,0.566,91.853,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,8.558075,3.671723771732267,29.44918007484975,41918,7
pepsin_and_Thermolysin_2182_3,pepsin,Thermolysin_2182,0.176,3767,0.474,0.931,0.566,92.658,unrelaxed_model_3_multimer_v3_pred_0.pdb,result_model_3_multimer_v3_pred_0.pkl,11.092662,12.39484081926015,99.41322440856713,41918,7
pepsin_and_Thermolysin_2182_4,pepsin,Thermolysin_2182,0.167,3936,0.479,0.931,0.569,92.308,unrelaxed_model_4_multimer_v3_pred_0.pdb,result_model_4_multimer_v3_pred_0.pkl,9.848109,1.4290375154327484,11.46164192679458,41918,7
pepsin_and_Thermolysin_2182_5,pepsin,Thermolysin_2182,0.204,3922,0.53,0.931,0.61,92.226,unrelaxed_model_5_multimer_v3_pred_0.pdb,result_model_5_multimer_v3_pred_0.pkl,9.213933,3.9320708467325995,31.53730226766602,41918,7
pepsin_and_Pepsin_716_1,pepsin,Pepsin_716,0.186,3462,0.49,0.934,0.579,92.373,unrelaxed_model_1_multimer_v3_pred_0.pdb,result_model_1_multimer_v3_pred_0.pkl,7.239067,1.9306312760177295,15.48469101714573,41918,6
pepsin_and_Pepsin_716_2,pepsin,Pepsin_716,0.201,3474,0.5,0.931,0.586,92.471,unrelaxed_model_2_multimer_v3_pred_0.pdb,result_model_2_multimer_v3_pred_0.pkl,8.727371,2.3638737808291355,18.959526634818218,41918,6
