Protein 1,Protein 2,LIS,LIA,ipTM,pTM,AFM Confidence,pLDDT,Distances,SASA,Change in SASA,MSA_depth_inhibitors,MSA_depth_peptidase
thermolysin,BSA,0.0,0.0,0.1552,0.6426000000000001,0.2528,91.7628,16.262065200000002,12.996514404380033,94.73368616065336,5302.0,27893.0
thermolysin,M36_102,0.28559999999999997,4270.4,0.524,0.9423999999999999,0.6077999999999999,95.05080000000001,7.02838314,0.0,0.0,10.0,27893.0
thermolysin,M36_109,0.2892,4247.0,0.5902000000000001,0.9498,0.662,95.5556,6.6900829,0.00916435332610404,0.066800447015847,6.0,27893.0
thermolysin,M36_129,0.3304,4706.2,0.6266,0.9517999999999999,0.6916,95.9162,6.81377314,0.11127927297039528,0.8111325385989889,15.0,27893.0
thermolysin,M36_139,0.1986,3406.8,0.49400000000000005,0.946,0.5841999999999999,94.81620000000001,8.24669624,4.369905511659402,31.852944906038356,8.0,27893.0
thermolysin,M36_15,0.2048,3893.4,0.5084,0.9468,0.596,94.8774,8.1081006,2.0937449333500897,15.261643948903636,112.0,27893.0
thermolysin,M36_211,0.23759999999999998,3986.8,0.5548,0.9484,0.6336,95.2186,5.92527942,0.0301406012812911,0.2196996959056134,5.0,27893.0
thermolysin,M36_225,0.1902,3596.0,0.4786,0.944,0.5716,94.5298,8.041441879999999,3.0237952051685526,22.040930134620254,10.0,27893.0
thermolysin,M36_232,0.22240000000000001,3331.0,0.5104,0.9465999999999999,0.5974,95.0308,6.96248184,0.11313341365686842,0.8246476686119136,7.0,27893.0
thermolysin,M36_240,0.2334,3568.6,0.5154,0.9456,0.6013999999999999,94.9,6.601804060000001,0.0,0.0,8.0,27893.0
thermolysin,M36_253,0.215,3374.6,0.5052,0.9465999999999999,0.5932,94.98519999999999,8.24797752,5.957174809943024,43.422806399468065,4.0,27893.0
thermolysin,M36_267,0.2056,3895.0,0.502,0.9431999999999998,0.5904,94.59100000000001,8.39439138,3.1164299862835523,22.71615996999455,12.0,27893.0
thermolysin,M36_284,0.2056,4637.0,0.4894,0.9381999999999999,0.5791999999999999,93.64880000000001,6.09159112,0.36484759379110343,2.6594328580151863,10.0,27893.0
thermolysin,M36_33,0.2532,3823.4,0.5506,0.9484,0.63,95.3334,6.51782736,0.032776749723046936,0.23891500636377985,6.0,27893.0
thermolysin,M36_354,0.19119999999999998,4760.8,0.48439999999999994,0.9358000000000001,0.5744,93.3848,7.550323860000001,4.678784563907935,34.104414052831366,10.0,27893.0
thermolysin,M36_363,0.2156,3770.2,0.545,0.9488,0.6258,95.2884,7.4819026399999995,1.9657506751457086,14.32867319152787,10.0,27893.0
thermolysin,M36_382,0.2064,3890.2,0.5034,0.9433999999999999,0.5918,94.7138,6.2612037,0.0,0.0,19.0,27893.0
thermolysin,M36_408,0.21800000000000003,3714.0,0.5254000000000001,0.9469999999999998,0.6093999999999999,94.7444,6.26143886,0.7800502093187024,5.68591157751077,1.0,27893.0
thermolysin,M36_409,0.16019999999999998,4182.6,0.45999999999999996,0.9390000000000001,0.5556,93.7094,7.7970248,1.7692999818833726,12.896712456326062,8.0,27893.0
thermolysin,M36_44,0.28559999999999997,4150.2,0.5996,0.9503999999999999,0.6698000000000001,95.74199999999999,6.53620308,0.0,0.0,8.0,27893.0
thermolysin,M36_455,0.21539999999999998,4468.6,0.487,0.938,0.5778,93.572,5.62556418,0.3631185766109325,2.646829773386781,2.0,27893.0
thermolysin,M36_456,0.22279999999999997,4393.8,0.4984,0.9404,0.5868,93.813,5.75179934,0.1456620816489311,1.0617543672930325,2.0,27893.0
thermolysin,M36_468,0.1972,5348.6,0.5022,0.9374,0.5892,93.08399999999999,6.106694,1.6771435378615778,12.224969297044812,7.0,27893.0
thermolysin,M36_70,0.1888,3498.4,0.49119999999999997,0.9471999999999999,0.5822,94.9964,7.467669599999999,2.0946897785183882,15.268531077472034,89.0,27893.0
thermolysin,M36_8,0.1812,3994.4,0.471,0.9416,0.5656,94.2874,8.7146085,2.875089454397121,20.956989973009122,90.0,27893.0
thermolysin,M36_86,0.2696,4054.2,0.5638,0.9490000000000001,0.6407999999999999,95.4028,7.083362719999999,0.9153177748504728,6.671898643126122,14.0,27893.0
